video_id,channel,title,duration_seconds,duration_minutes,upload_date,view_count,url
review_1,Marques Brownlee,Samsung Galaxy Buds 4 Pro Review: Better than AirPods!,531,8.85,20260228,2364754,https://www.youtube.com/watch?v=wRaDbRjVrc4
review_10,Austin Evans,This Windows Laptop BEATS the MacBook - ASUS Zenbook A16,901,15.02,20260407,205243,https://www.youtube.com/watch?v=w1zH9DwQ6qA
review_2,Marques Brownlee,Macbook Neo Review: Better than you Think!,773,12.88,20260310,4880489,https://www.youtube.com/watch?v=iGeXGdYE7UE
review_3,Linus Tech Tips,I bought a TV with NO 'Smart' Features...,1070,17.83,20260504,699543,https://www.youtube.com/watch?v=LJh72_O4pXE
review_4,Linus Tech Tips,This Video Keyboard Raised $3.8M on Kickstarter,710,11.83,20260503,449547,https://www.youtube.com/watch?v=be2uWv2qSTM
review_5,Dave2D,The Samsung TriFold is AWESOME!,498,8.3,20251216,749657,https://www.youtube.com/watch?v=mEHZxZEN69U
review_6,Dave2D,ROG XBOX Ally X Review,848,14.13,20251015,570900,https://www.youtube.com/watch?v=PgFeiwvqS0g
review_7,Mrwhosetheboss,Xiaomi 17 Pro Max review - Apple are you seeing this!?,776,12.93,20250926,11873590,https://www.youtube.com/watch?v=0jHtyF_rCqU
review_8,Mrwhosetheboss,Oppo Find N5 Review - Samsung just got Demolished!?,890,14.83,20250220,7153987,https://www.youtube.com/watch?v=DnY6J7YAsGg
review_9,Austin Evans,Should You ACTUALLY Upgrade Your Laptop? - Lenovo Yoga 7a 2-in-1,490,8.17,20260331,176577,https://www.youtube.com/watch?v=OQROS1QMi5c
