video_id,group_id,score
review_1,0,0.7533
review_1,1,0.8187
review_1,2,0.6736
review_1,3,0.8932
review_1,4,0.8109
review_2,0,0.7605
review_2,1,0.9686
review_2,2,0.9133
review_2,3,0.7014
review_2,4,0.7988
review_2,5,0.7201
review_3,0,0.5848
review_3,1,0.8269
review_3,2,0.7150
review_3,3,0.7040
review_3,4,0.7654
review_3,5,0.6907
review_3,6,0.8982
review_4,0,0.7209
review_4,1,0.7630
review_4,2,0.7060
review_5,0,0.8522
review_5,1,0.9222
review_5,2,0.7514
review_5,3,0.7905
review_5,4,0.8677
review_5,5,0.8923
review_6,0,0.9565
review_6,1,0.8748
review_6,2,0.8519
review_6,3,0.7803
review_7,0,0.8795
review_7,1,0.7033
review_7,2,0.7452
review_7,3,0.6834
review_7,4,0.6777
review_8,0,0.6495
review_8,1,0.9523
review_8,2,0.6806
review_8,3,0.8723
review_8,4,0.6898
review_8,5,0.8174
review_8,6,0.7920
review_8,7,0.7532
review_9,0,0.6910
review_9,1,0.7492
review_9,2,0.7655
review_9,3,0.6637
review_10,0,0.6347
review_10,1,0.8016
review_10,2,0.9150
review_10,3,0.8341
review_10,4,0.8430
review_10,5,0.8186
