shot,weight,concept_clip_t
"""shot_001""",0.0,0.2422
"""shot_001""",0.1,0.2332
"""shot_001""",0.2,0.1920
"""shot_001""",0.3,0.2078
"""shot_001""",0.4,0.2058
"""shot_001""",0.5,0.2107
"""shot_001""",0.6,0.2109
"""shot_001""",0.8,0.2143
"""shot_001""",1.0,0.2067
"""shot_002""",0.0,0.2811
"""shot_002""",0.1,0.2539
"""shot_002""",0.2,0.2879
"""shot_002""",0.3,0.3093
"""shot_002""",0.4,0.2643
"""shot_002""",0.5,0.2450
"""shot_002""",0.6,0.2342
"""shot_002""",0.8,0.2164
"""shot_002""",1.0,0.2113
"""shot_003""",0.0,0.2424
"""shot_003""",0.1,0.2625
"""shot_003""",0.2,0.2316
"""shot_003""",0.3,0.2335
"""shot_003""",0.4,0.2157
"""shot_003""",0.5,0.2236
"""shot_003""",0.6,0.2241
"""shot_003""",0.8,0.2090
"""shot_003""",1.0,0.2119
"""shot_004""",0.0,0.2299
"""shot_004""",0.1,0.2568
"""shot_004""",0.2,0.2681
"""shot_004""",0.3,0.2634
"""shot_004""",0.4,0.2272
"""shot_004""",0.5,0.2322
"""shot_004""",0.6,0.2164
"""shot_004""",0.8,0.2177
"""shot_004""",1.0,0.2125
"""shot_005""",0.0,0.1795
"""shot_005""",0.1,0.1990
"""shot_005""",0.2,0.1998
"""shot_005""",0.3,0.1992
"""shot_005""",0.4,0.2152
"""shot_005""",0.5,0.2216
"""shot_005""",0.6,0.2123
"""shot_005""",0.8,0.2207
"""shot_005""",1.0,0.2110
"""shot_006""",0.0,0.1805
"""shot_006""",0.1,0.1516
"""shot_006""",0.2,0.1730
"""shot_006""",0.3,0.2008
"""shot_006""",0.4,0.1967
"""shot_006""",0.5,0.2160
"""shot_006""",0.6,0.2137
"""shot_006""",0.8,0.2098
"""shot_006""",1.0,0.2038
"""shot_007""",0.0,0.2624
"""shot_007""",0.1,0.2172
"""shot_007""",0.2,0.2208
"""shot_007""",0.3,0.2110
"""shot_007""",0.4,0.2183
"""shot_007""",0.5,0.2103
"""shot_007""",0.6,0.2160
"""shot_007""",0.8,0.2116
"""shot_007""",1.0,0.2134
"""shot_008""",0.0,0.2617
"""shot_008""",0.1,0.2628
"""shot_008""",0.2,0.2886
"""shot_008""",0.3,0.2505
"""shot_008""",0.4,0.2177
"""shot_008""",0.5,0.2190
"""shot_008""",0.6,0.2239
"""shot_008""",0.8,0.2126
"""shot_008""",1.0,0.2135
"""shot_009""",0.0,0.2060
"""shot_009""",0.1,0.1934
"""shot_009""",0.2,0.2198
"""shot_009""",0.3,0.1989
"""shot_009""",0.4,0.2082
"""shot_009""",0.5,0.2100
"""shot_009""",0.6,0.2141
"""shot_009""",0.8,0.2174
"""shot_009""",1.0,0.2118
"""shot_010""",0.0,0.2551
"""shot_010""",0.1,0.2705
"""shot_010""",0.2,0.2579
"""shot_010""",0.3,0.2421
"""shot_010""",0.4,0.2181
"""shot_010""",0.5,0.2213
"""shot_010""",0.6,0.2136
"""shot_010""",0.8,0.2188
"""shot_010""",1.0,0.2111
"""shot_011""",0.0,0.2543
"""shot_011""",0.1,0.2837
"""shot_011""",0.2,0.3041
"""shot_011""",0.3,0.2306
"""shot_011""",0.4,0.2249
"""shot_011""",0.5,0.2153
"""shot_011""",0.6,0.2132
"""shot_011""",0.8,0.2164
"""shot_011""",1.0,0.2262
"""shot_012""",0.0,0.2540
"""shot_012""",0.1,0.2493
"""shot_012""",0.2,0.2567
"""shot_012""",0.3,0.2596
"""shot_012""",0.4,0.2185
"""shot_012""",0.5,0.2123
"""shot_012""",0.6,0.2171
"""shot_012""",0.8,0.2073
"""shot_012""",1.0,0.2170
"""shot_013""",0.0,0.2703
"""shot_013""",0.1,0.2811
"""shot_013""",0.2,0.2809
"""shot_013""",0.3,0.2722
"""shot_013""",0.4,0.2374
"""shot_013""",0.5,0.2222
"""shot_013""",0.6,0.2233
"""shot_013""",0.8,0.2291
"""shot_013""",1.0,0.2196
"""shot_014""",0.0,0.2855
"""shot_014""",0.1,0.2563
"""shot_014""",0.2,0.2736
"""shot_014""",0.3,0.2195
"""shot_014""",0.4,0.2042
"""shot_014""",0.5,0.2107
"""shot_014""",0.6,0.2026
"""shot_014""",0.8,0.1976
"""shot_014""",1.0,0.2066
"""shot_015""",0.0,0.2410
"""shot_015""",0.1,0.2687
"""shot_015""",0.2,0.2679
"""shot_015""",0.3,0.2478
"""shot_015""",0.4,0.2574
"""shot_015""",0.5,0.2080
"""shot_015""",0.6,0.2169
"""shot_015""",0.8,0.2237
"""shot_015""",1.0,0.2137
"""shot_016""",0.0,0.2597
"""shot_016""",0.1,0.2661
"""shot_016""",0.2,0.2919
"""shot_016""",0.3,0.2288
"""shot_016""",0.4,0.2285
"""shot_016""",0.5,0.2235
"""shot_016""",0.6,0.2153
"""shot_016""",0.8,0.2265
"""shot_016""",1.0,0.2099
