shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.3658,1.0000
"""shot_001""",0.1,0.5100,0.8030
"""shot_001""",0.2,0.6849,0.5900
"""shot_001""",0.3,0.8799,0.4981
"""shot_001""",0.4,0.8281,0.4964
"""shot_001""",0.5,0.8741,0.4544
"""shot_001""",0.6,0.8780,0.4785
"""shot_001""",0.8,0.9140,0.4284
"""shot_001""",1.0,0.9074,0.3995
"""shot_002""",0.0,0.2357,1.0000
"""shot_002""",0.1,0.2248,0.9548
"""shot_002""",0.2,0.2370,0.8271
"""shot_002""",0.3,0.5201,0.7132
"""shot_002""",0.4,0.7385,0.5787
"""shot_002""",0.5,0.8392,0.4128
"""shot_002""",0.6,0.8521,0.3888
"""shot_002""",0.8,0.9325,0.2558
"""shot_002""",1.0,0.9140,0.2498
"""shot_003""",0.0,0.2842,1.0000
"""shot_003""",0.1,0.3640,0.8786
"""shot_003""",0.2,0.5319,0.7607
"""shot_003""",0.3,0.6817,0.6160
"""shot_003""",0.4,0.7928,0.5084
"""shot_003""",0.5,0.8876,0.4696
"""shot_003""",0.6,0.8555,0.4361
"""shot_003""",0.8,0.9270,0.2967
"""shot_003""",1.0,0.9234,0.3085
"""shot_004""",0.0,0.2843,1.0000
"""shot_004""",0.1,0.2745,0.8185
"""shot_004""",0.2,0.2881,0.7141
"""shot_004""",0.3,0.3686,0.7145
"""shot_004""",0.4,0.5704,0.6855
"""shot_004""",0.5,0.8783,0.4677
"""shot_004""",0.6,0.8864,0.4824
"""shot_004""",0.8,0.9375,0.3732
"""shot_004""",1.0,0.9499,0.3041
"""shot_005""",0.0,0.1545,1.0000
"""shot_005""",0.1,0.2727,0.8955
"""shot_005""",0.2,0.6362,0.3681
"""shot_005""",0.3,0.8237,0.2570
"""shot_005""",0.4,0.7263,0.2933
"""shot_005""",0.5,0.7906,0.2460
"""shot_005""",0.6,0.8420,0.2551
"""shot_005""",0.8,0.9253,0.2006
"""shot_005""",1.0,0.9546,0.1536
"""shot_006""",0.0,0.1008,1.0000
"""shot_006""",0.1,0.1420,0.6083
"""shot_006""",0.2,0.2737,0.6750
"""shot_006""",0.3,0.3836,0.2550
"""shot_006""",0.4,0.5876,0.4149
"""shot_006""",0.5,0.7807,0.2488
"""shot_006""",0.6,0.8894,0.1850
"""shot_006""",0.8,0.9434,0.0908
"""shot_006""",1.0,0.9322,0.0998
"""shot_007""",0.0,0.5422,1.0000
"""shot_007""",0.1,0.5167,0.9141
"""shot_007""",0.2,0.8649,0.7047
"""shot_007""",0.3,0.9339,0.6253
"""shot_007""",0.4,0.8259,0.7542
"""shot_007""",0.5,0.9080,0.6776
"""shot_007""",0.6,0.9381,0.6370
"""shot_007""",0.8,0.9240,0.6166
"""shot_007""",1.0,0.9502,0.5378
"""shot_008""",0.0,0.2480,1.0000
"""shot_008""",0.1,0.2318,0.9526
"""shot_008""",0.2,0.2618,0.8250
"""shot_008""",0.3,0.9039,0.3497
"""shot_008""",0.4,0.9507,0.2893
"""shot_008""",0.5,0.9526,0.2767
"""shot_008""",0.6,0.9450,0.2969
"""shot_008""",0.8,0.9329,0.2856
"""shot_008""",1.0,0.9552,0.2910
"""shot_009""",0.0,1.0000,1.0000
"""shot_009""",0.1,0.9224,0.9224
"""shot_009""",0.2,0.9223,0.9223
"""shot_009""",0.3,0.9709,0.9709
"""shot_009""",0.4,0.9503,0.9503
"""shot_009""",0.5,0.9294,0.9294
"""shot_009""",0.6,0.9443,0.9443
"""shot_009""",0.8,0.9308,0.9308
"""shot_009""",1.0,0.9513,0.9513
"""shot_010""",0.0,0.2287,1.0000
"""shot_010""",0.1,0.3724,0.8143
"""shot_010""",0.2,0.4633,0.7160
"""shot_010""",0.3,0.8580,0.4701
"""shot_010""",0.4,0.9334,0.2859
"""shot_010""",0.5,0.9298,0.2407
"""shot_010""",0.6,0.9283,0.2652
"""shot_010""",0.8,0.9281,0.2666
"""shot_010""",1.0,0.9342,0.2150
"""shot_011""",0.0,0.1685,1.0000
"""shot_011""",0.1,0.2136,0.9647
"""shot_011""",0.2,0.3153,0.8974
"""shot_011""",0.3,0.6889,0.5044
"""shot_011""",0.4,0.7922,0.3380
"""shot_011""",0.5,0.8875,0.2102
"""shot_011""",0.6,0.9294,0.1897
"""shot_011""",0.8,0.9172,0.1824
"""shot_011""",1.0,0.9377,0.1829
"""shot_012""",0.0,0.1968,1.0000
"""shot_012""",0.1,0.2286,0.9313
"""shot_012""",0.2,0.2395,0.9144
"""shot_012""",0.3,0.7168,0.4843
"""shot_012""",0.4,0.8631,0.2946
"""shot_012""",0.5,0.8833,0.2645
"""shot_012""",0.6,0.8390,0.2650
"""shot_012""",0.8,0.9403,0.2243
"""shot_012""",1.0,0.9205,0.2004
"""shot_013""",0.0,0.2907,1.0000
"""shot_013""",0.1,0.2788,0.8037
"""shot_013""",0.2,0.3166,0.7257
"""shot_013""",0.3,0.5824,0.6957
"""shot_013""",0.4,0.8353,0.4688
"""shot_013""",0.5,0.8443,0.3975
"""shot_013""",0.6,0.9100,0.3729
"""shot_013""",0.8,0.9000,0.4275
"""shot_013""",1.0,0.9215,0.3867
"""shot_014""",0.0,0.2139,1.0000
"""shot_014""",0.1,0.1885,0.8891
"""shot_014""",0.2,0.2022,0.8171
"""shot_014""",0.3,0.9132,0.2642
"""shot_014""",0.4,0.8941,0.2320
"""shot_014""",0.5,0.9125,0.2854
"""shot_014""",0.6,0.9364,0.2578
"""shot_014""",0.8,0.8969,0.2432
"""shot_014""",1.0,0.9083,0.2604
"""shot_015""",0.0,0.1641,1.0000
"""shot_015""",0.1,0.1234,0.6998
"""shot_015""",0.2,0.2089,0.7246
"""shot_015""",0.3,0.5055,0.6410
"""shot_015""",0.4,0.8105,0.3789
"""shot_015""",0.5,0.9227,0.2465
"""shot_015""",0.6,0.8996,0.2712
"""shot_015""",0.8,0.8961,0.2687
"""shot_015""",1.0,0.9328,0.2032
"""shot_016""",0.0,0.1695,1.0000
"""shot_016""",0.1,0.1857,0.6038
"""shot_016""",0.2,0.3337,0.6157
"""shot_016""",0.3,0.9254,0.2266
"""shot_016""",0.4,0.9010,0.3027
"""shot_016""",0.5,0.9155,0.2975
"""shot_016""",0.6,0.9190,0.2805
"""shot_016""",0.8,0.9605,0.1959
"""shot_016""",1.0,0.9496,0.1541

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
