shot,weight,concept_clip_t
"""shot_001""",0.0,0.2077
"""shot_001""",0.1,0.2705
"""shot_001""",0.2,0.2245
"""shot_001""",0.3,0.2637
"""shot_001""",0.4,0.3090
"""shot_001""",0.5,0.3058
"""shot_001""",0.6,0.3263
"""shot_001""",0.8,0.3428
"""shot_001""",1.0,0.3376
"""shot_002""",0.0,0.2873
"""shot_002""",0.1,0.3432
"""shot_002""",0.2,0.3415
"""shot_002""",0.3,0.3425
"""shot_002""",0.4,0.3342
"""shot_002""",0.5,0.3303
"""shot_002""",0.6,0.3290
"""shot_002""",0.8,0.3434
"""shot_002""",1.0,0.3473
"""shot_003""",0.0,0.2583
"""shot_003""",0.1,0.3025
"""shot_003""",0.2,0.3201
"""shot_003""",0.3,0.3109
"""shot_003""",0.4,0.3178
"""shot_003""",0.5,0.3422
"""shot_003""",0.6,0.3368
"""shot_003""",0.8,0.3317
"""shot_003""",1.0,0.3346
"""shot_004""",0.0,0.2854
"""shot_004""",0.1,0.2605
"""shot_004""",0.2,0.3013
"""shot_004""",0.3,0.2989
"""shot_004""",0.4,0.3227
"""shot_004""",0.5,0.3147
"""shot_004""",0.6,0.3388
"""shot_004""",0.8,0.3452
"""shot_004""",1.0,0.3381
"""shot_005""",0.0,0.2156
"""shot_005""",0.1,0.2162
"""shot_005""",0.2,0.2728
"""shot_005""",0.3,0.2862
"""shot_005""",0.4,0.3363
"""shot_005""",0.5,0.3468
"""shot_005""",0.6,0.3463
"""shot_005""",0.8,0.3478
"""shot_005""",1.0,0.3440
"""shot_006""",0.0,0.1488
"""shot_006""",0.1,0.1600
"""shot_006""",0.2,0.1700
"""shot_006""",0.3,0.1877
"""shot_006""",0.4,0.2368
"""shot_006""",0.5,0.3326
"""shot_006""",0.6,0.3420
"""shot_006""",0.8,0.3235
"""shot_006""",1.0,0.3348
"""shot_007""",0.0,0.2819
"""shot_007""",0.1,0.2882
"""shot_007""",0.2,0.3077
"""shot_007""",0.3,0.3068
"""shot_007""",0.4,0.3345
"""shot_007""",0.5,0.3376
"""shot_007""",0.6,0.3398
"""shot_007""",0.8,0.3486
"""shot_007""",1.0,0.3419
"""shot_008""",0.0,0.2851
"""shot_008""",0.1,0.2915
"""shot_008""",0.2,0.3180
"""shot_008""",0.3,0.3437
"""shot_008""",0.4,0.3363
"""shot_008""",0.5,0.3450
"""shot_008""",0.6,0.3379
"""shot_008""",0.8,0.3306
"""shot_008""",1.0,0.3354
"""shot_009""",0.0,0.3287
"""shot_009""",0.1,0.3420
"""shot_009""",0.2,0.3422
"""shot_009""",0.3,0.3344
"""shot_009""",0.4,0.3451
"""shot_009""",0.5,0.3410
"""shot_009""",0.6,0.3370
"""shot_009""",0.8,0.3363
"""shot_009""",1.0,0.3403
"""shot_010""",0.0,0.2700
"""shot_010""",0.1,0.3258
"""shot_010""",0.2,0.3319
"""shot_010""",0.3,0.3327
"""shot_010""",0.4,0.3304
"""shot_010""",0.5,0.3385
"""shot_010""",0.6,0.3427
"""shot_010""",0.8,0.3486
"""shot_010""",1.0,0.3419
"""shot_011""",0.0,0.2945
"""shot_011""",0.1,0.3309
"""shot_011""",0.2,0.3489
"""shot_011""",0.3,0.3529
"""shot_011""",0.4,0.3368
"""shot_011""",0.5,0.3483
"""shot_011""",0.6,0.3384
"""shot_011""",0.8,0.3468
"""shot_011""",1.0,0.3404
"""shot_012""",0.0,0.3289
"""shot_012""",0.1,0.3276
"""shot_012""",0.2,0.3283
"""shot_012""",0.3,0.3213
"""shot_012""",0.4,0.3267
"""shot_012""",0.5,0.3414
"""shot_012""",0.6,0.3534
"""shot_012""",0.8,0.3412
"""shot_012""",1.0,0.3439
"""shot_013""",0.0,0.2475
"""shot_013""",0.1,0.2272
"""shot_013""",0.2,0.2512
"""shot_013""",0.3,0.3404
"""shot_013""",0.4,0.3424
"""shot_013""",0.5,0.3474
"""shot_013""",0.6,0.3477
"""shot_013""",0.8,0.3434
"""shot_013""",1.0,0.3323
"""shot_014""",0.0,0.2429
"""shot_014""",0.1,0.3002
"""shot_014""",0.2,0.3256
"""shot_014""",0.3,0.3392
"""shot_014""",0.4,0.3440
"""shot_014""",0.5,0.3485
"""shot_014""",0.6,0.3325
"""shot_014""",0.8,0.3311
"""shot_014""",1.0,0.3450
"""shot_015""",0.0,0.1878
"""shot_015""",0.1,0.2067
"""shot_015""",0.2,0.2226
"""shot_015""",0.3,0.2842
"""shot_015""",0.4,0.3229
"""shot_015""",0.5,0.3321
"""shot_015""",0.6,0.3388
"""shot_015""",0.8,0.3284
"""shot_015""",1.0,0.3464
"""shot_016""",0.0,0.1990
"""shot_016""",0.1,0.1909
"""shot_016""",0.2,0.2051
"""shot_016""",0.3,0.2394
"""shot_016""",0.4,0.2544
"""shot_016""",0.5,0.3309
"""shot_016""",0.6,0.3134
"""shot_016""",0.8,0.3181
"""shot_016""",1.0,0.3329
