shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.2779,1.0000
"""shot_001""",0.1,0.5155,0.8355
"""shot_001""",0.2,0.4906,0.7421
"""shot_001""",0.3,0.5194,0.5780
"""shot_001""",0.4,0.6428,0.4867
"""shot_001""",0.5,0.8756,0.4154
"""shot_001""",0.6,0.9548,0.3103
"""shot_001""",0.8,0.9626,0.3193
"""shot_001""",1.0,0.9685,0.3001
"""shot_002""",0.0,0.7185,1.0000
"""shot_002""",0.1,0.8688,0.8894
"""shot_002""",0.2,0.9056,0.7744
"""shot_002""",0.3,0.9217,0.6847
"""shot_002""",0.4,0.9663,0.6879
"""shot_002""",0.5,0.9649,0.7080
"""shot_002""",0.6,0.9682,0.7220
"""shot_002""",0.8,0.9566,0.7137
"""shot_002""",1.0,0.9606,0.7371
"""shot_003""",0.0,0.2672,1.0000
"""shot_003""",0.1,0.6564,0.4598
"""shot_003""",0.2,0.8604,0.3427
"""shot_003""",0.3,0.9102,0.3529
"""shot_003""",0.4,0.9361,0.3365
"""shot_003""",0.5,0.9522,0.3105
"""shot_003""",0.6,0.9557,0.2854
"""shot_003""",0.8,0.9624,0.2914
"""shot_003""",1.0,0.9666,0.2700
"""shot_004""",0.0,0.3671,1.0000
"""shot_004""",0.1,0.3852,0.8307
"""shot_004""",0.2,0.6928,0.5241
"""shot_004""",0.3,0.8926,0.3884
"""shot_004""",0.4,0.9308,0.3571
"""shot_004""",0.5,0.9366,0.3582
"""shot_004""",0.6,0.9626,0.3460
"""shot_004""",0.8,0.9664,0.3624
"""shot_004""",1.0,0.9688,0.3703
"""shot_005""",0.0,0.2740,1.0000
"""shot_005""",0.1,0.3446,0.8448
"""shot_005""",0.2,0.4363,0.7517
"""shot_005""",0.3,0.7333,0.5987
"""shot_005""",0.4,0.9231,0.3809
"""shot_005""",0.5,0.9515,0.3256
"""shot_005""",0.6,0.9554,0.3077
"""shot_005""",0.8,0.9711,0.2940
"""shot_005""",1.0,0.9615,0.2918
"""shot_006""",0.0,0.0085,1.0000
"""shot_006""",0.1,0.0758,0.8626
"""shot_006""",0.2,0.0607,0.8865
"""shot_006""",0.3,0.0831,0.8519
"""shot_006""",0.4,0.2900,0.6044
"""shot_006""",0.5,0.9372,0.0030
"""shot_006""",0.6,0.9755,0.0183
"""shot_006""",0.8,0.9588,0.0284
"""shot_006""",1.0,0.9589,0.0217
"""shot_007""",0.0,0.4797,1.0000
"""shot_007""",0.1,0.6292,0.8432
"""shot_007""",0.2,0.7169,0.7762
"""shot_007""",0.3,0.7882,0.6439
"""shot_007""",0.4,0.8929,0.5733
"""shot_007""",0.5,0.9224,0.5554
"""shot_007""",0.6,0.9492,0.5579
"""shot_007""",0.8,0.9504,0.5599
"""shot_007""",1.0,0.9494,0.5583
"""shot_008""",0.0,0.7883,1.0000
"""shot_008""",0.1,0.8492,0.9507
"""shot_008""",0.2,0.9304,0.8290
"""shot_008""",0.3,0.9358,0.8568
"""shot_008""",0.4,0.9493,0.8218
"""shot_008""",0.5,0.9638,0.8094
"""shot_008""",0.6,0.9576,0.7783
"""shot_008""",0.8,0.9682,0.7872
"""shot_008""",1.0,0.9566,0.7425
"""shot_009""",0.0,1.0000,1.0000
"""shot_009""",0.1,0.9892,0.9892
"""shot_009""",0.2,0.9878,0.9878
"""shot_009""",0.3,0.9766,0.9766
"""shot_009""",0.4,0.9690,0.9690
"""shot_009""",0.5,0.9688,0.9688
"""shot_009""",0.6,0.9637,0.9637
"""shot_009""",0.8,0.9675,0.9675
"""shot_009""",1.0,0.9674,0.9674
"""shot_010""",0.0,0.8448,1.0000
"""shot_010""",0.1,0.8663,0.9449
"""shot_010""",0.2,0.9548,0.8277
"""shot_010""",0.3,0.9571,0.8290
"""shot_010""",0.4,0.9557,0.8302
"""shot_010""",0.5,0.9647,0.8312
"""shot_010""",0.6,0.9680,0.8436
"""shot_010""",0.8,0.9640,0.8438
"""shot_010""",1.0,0.9671,0.8806
"""shot_011""",0.0,0.5000,1.0000
"""shot_011""",0.1,0.7625,0.8449
"""shot_011""",0.2,0.9208,0.6527
"""shot_011""",0.3,0.9452,0.5917
