shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.7791,1.0000
"""shot_001""",0.1,0.8304,0.9161
"""shot_001""",0.2,0.9183,0.8527
"""shot_001""",0.3,0.9570,0.7736
"""shot_001""",0.4,0.9484,0.8011
"""shot_001""",0.5,0.9406,0.7537
"""shot_001""",0.6,0.9472,0.7589
"""shot_001""",0.8,0.9551,0.7744
"""shot_001""",1.0,0.9446,0.8060
"""shot_002""",0.0,0.8461,1.0000
"""shot_002""",0.1,0.9386,0.8720
"""shot_002""",0.2,0.9446,0.8635
"""shot_002""",0.3,0.9572,0.8611
"""shot_002""",0.4,0.9652,0.8480
"""shot_002""",0.5,0.9476,0.8175
"""shot_002""",0.6,0.9533,0.8187
"""shot_002""",0.8,0.8555,0.8953
"""shot_002""",1.0,0.8913,0.8695
"""shot_003""",0.0,0.8444,1.0000
"""shot_003""",0.1,0.8729,0.9690
"""shot_003""",0.2,0.8603,0.9568
"""shot_003""",0.3,0.8696,0.9343
"""shot_003""",0.4,0.9232,0.8325
"""shot_003""",0.5,0.9427,0.8175
"""shot_003""",0.6,0.9328,0.7929
"""shot_003""",0.8,0.9091,0.7348
"""shot_003""",1.0,0.8913,0.6958
"""shot_004""",0.0,0.9189,1.0000
"""shot_004""",0.1,0.8669,0.8271
"""shot_004""",0.2,0.8833,0.8972
"""shot_004""",0.3,0.9141,0.9183
"""shot_004""",0.4,0.9245,0.9183
"""shot_004""",0.5,0.9339,0.8895
"""shot_004""",0.6,0.9376,0.8864
"""shot_004""",0.8,0.9267,0.8427
"""shot_004""",1.0,0.9198,0.8410
"""shot_005""",0.0,0.8553,1.0000
"""shot_005""",0.1,0.8867,0.9752
"""shot_005""",0.2,0.9092,0.9451
"""shot_005""",0.3,0.9107,0.9251
"""shot_005""",0.4,0.9182,0.8747
"""shot_005""",0.5,0.9010,0.8349
"""shot_005""",0.6,0.9670,0.8136
"""shot_005""",0.8,0.8886,0.6712
"""shot_005""",1.0,0.8821,0.6344
"""shot_006""",0.0,0.8697,1.0000
"""shot_006""",0.1,0.8801,0.9583
"""shot_006""",0.2,0.8922,0.9446
"""shot_006""",0.3,0.9021,0.9320
"""shot_006""",0.4,0.9029,0.9019
"""shot_006""",0.5,0.9222,0.9009
"""shot_006""",0.6,0.9682,0.8550
"""shot_006""",0.8,0.9203,0.7653
"""shot_006""",1.0,0.9244,0.7646
"""shot_007""",0.0,0.6611,1.0000
"""shot_007""",0.1,0.7397,0.9005
"""shot_007""",0.2,0.9143,0.7057
"""shot_007""",0.3,0.9182,0.7084
"""shot_007""",0.4,0.9504,0.6693
"""shot_007""",0.5,0.9369,0.7158
"""shot_007""",0.6,0.9675,0.7018
"""shot_007""",0.8,0.9573,0.7134
"""shot_007""",1.0,0.8974,0.7264
"""shot_008""",0.0,0.8330,1.0000
"""shot_008""",0.1,0.8788,0.9683
"""shot_008""",0.2,0.9555,0.8931
"""shot_008""",0.3,0.9607,0.8950
"""shot_008""",0.4,0.9571,0.7774
"""shot_008""",0.5,0.9521,0.7556
"""shot_008""",0.6,0.9466,0.7733
"""shot_008""",0.8,0.8986,0.6644
"""shot_008""",1.0,0.9472,0.7214
"""shot_009""",0.0,0.9427,1.0000
"""shot_009""",0.1,0.9111,0.9135
"""shot_009""",0.2,0.9575,0.9459
"""shot_009""",0.3,0.9262,0.9144
"""shot_009""",0.4,0.9122,0.9081
"""shot_009""",0.5,0.9386,0.8902
"""shot_009""",0.6,0.9583,0.9065
"""shot_009""",0.8,0.9441,0.8979
"""shot_009""",1.0,0.8965,0.8341
"""shot_010""",0.0,0.5803,1.0000
"""shot_010""",0.1,0.7997,0.7503
"""shot_010""",0.2,0.9033,0.6832
"""shot_010""",0.3,0.9584,0.5995
"""shot_010""",0.4,0.9370,0.5093
"""shot_010""",0.5,0.9579,0.6146
"""shot_010""",0.6,0.9445,0.6191
"""shot_010""",0.8,0.9127,0.6217
"""shot_010""",1.0,0.9162,0.6334
"""shot_011""",0.0,0.9138,1.0000
"""shot_011""",0.1,0.9567,0.9280
"""shot_011""",0.2,0.9645,0.9434
"""shot_011""",0.3,0.9698,0.9374
"""shot_011""",0.4,0.9729,0.9069
"""shot_011""",0.5,0.9766,0.9230
"""shot_011""",0.6,0.9488,0.8764
"""shot_011""",0.8,0.9577,0.9027
"""shot_011""",1.0,0.9099,0.8028
"""shot_012""",0.0,0.7824,1.0000
"""shot_012""",0.1,0.9241,0.7847
"""shot_012""",0.2,0.9617,0.7676
"""shot_012""",0.3,0.9514,0.8052
"""shot_012""",0.4,0.9581,0.8032
"""shot_012""",0.5,0.9599,0.7884
"""shot_012""",0.6,0.9523,0.8118
"""shot_012""",0.8,0.9012,0.8198
"""shot_012""",1.0,0.9154,0.8188
"""shot_013""",0.0,0.7492,1.0000
"""shot_013""",0.1,0.8972,0.8526
"""shot_013""",0.2,0.9449,0.7863
"""shot_013""",0.3,0.9316,0.8057
"""shot_013""",0.4,0.9509,0.7629
"""shot_013""",0.5,0.9430,0.7683
"""shot_013""",0.6,0.9308,0.7033
"""shot_013""",0.8,0.9386,0.7587
"""shot_013""",1.0,0.8920,0.7805
"""shot_014""",0.0,0.9062,1.0000
"""shot_014""",0.1,0.8926,0.9561
"""shot_014""",0.2,0.9220,0.9594
"""shot_014""",0.3,0.9633,0.9390
"""shot_014""",0.4,0.9688,0.9186
"""shot_014""",0.5,0.9638,0.8632
"""shot_014""",0.6,0.9475,0.8128
"""shot_014""",0.8,0.8671,0.7058
"""shot_014""",1.0,0.8889,0.7238
"""shot_015""",0.0,0.8262,1.0000
"""shot_015""",0.1,0.8829,0.9664
"""shot_015""",0.2,0.9252,0.9250
"""shot_015""",0.3,0.9410,0.9002
"""shot_015""",0.4,0.9437,0.8899
"""shot_015""",0.5,0.9452,0.8825
"""shot_015""",0.6,0.9187,0.8614
"""shot_015""",0.8,0.9505,0.8358
"""shot_015""",1.0,0.9339,0.8275
"""shot_016""",0.0,0.3777,1.0000
"""shot_016""",0.1,0.8884,0.5083
"""shot_016""",0.2,0.9536,0.3443
"""shot_016""",0.3,0.9266,0.3860
