shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.9114,1.0000
"""shot_001""",0.1,0.9419,0.8909
"""shot_001""",0.2,0.9551,0.8898
"""shot_001""",0.3,0.9617,0.9032
"""shot_001""",0.4,0.9590,0.9092
"""shot_001""",0.5,0.9583,0.9111
"""shot_001""",0.6,0.9660,0.9042
"""shot_001""",0.8,0.9571,0.8987
"""shot_001""",1.0,0.9516,0.8989
"""shot_002""",0.0,0.9282,1.0000
"""shot_002""",0.1,0.9321,0.9428
"""shot_002""",0.2,0.9516,0.9360
"""shot_002""",0.3,0.9556,0.9364
"""shot_002""",0.4,0.9549,0.9295
"""shot_002""",0.5,0.9589,0.9258
"""shot_002""",0.6,0.9521,0.9228
"""shot_002""",0.8,0.9602,0.9251
"""shot_002""",1.0,0.9554,0.9095
"""shot_003""",0.0,0.9194,1.0000
"""shot_003""",0.1,0.9475,0.9658
"""shot_003""",0.2,0.9540,0.9569
"""shot_003""",0.3,0.9692,0.9421
"""shot_003""",0.4,0.9676,0.9420
"""shot_003""",0.5,0.9614,0.9297
"""shot_003""",0.6,0.9570,0.9148
"""shot_003""",0.8,0.9646,0.9140
"""shot_003""",1.0,0.9546,0.8990
"""shot_004""",0.0,0.8920,1.0000
"""shot_004""",0.1,0.8986,0.9768
"""shot_004""",0.2,0.9152,0.9664
"""shot_004""",0.3,0.9492,0.9205
"""shot_004""",0.4,0.9427,0.9060
"""shot_004""",0.5,0.9514,0.8754
"""shot_004""",0.6,0.9612,0.8940
"""shot_004""",0.8,0.9686,0.8855
"""shot_004""",1.0,0.9641,0.8813
"""shot_005""",0.0,0.9199,1.0000
"""shot_005""",0.1,0.9363,0.9485
"""shot_005""",0.2,0.9335,0.9244
"""shot_005""",0.3,0.9430,0.9132
"""shot_005""",0.4,0.9512,0.9430
"""shot_005""",0.5,0.9371,0.9451
"""shot_005""",0.6,0.9570,0.9252
"""shot_005""",0.8,0.9650,0.9066
"""shot_005""",1.0,0.9533,0.9142
"""shot_006""",0.0,0.9104,1.0000
"""shot_006""",0.1,0.9151,0.9607
"""shot_006""",0.2,0.9284,0.9245
"""shot_006""",0.3,0.9472,0.9028
"""shot_006""",0.4,0.9528,0.9017
"""shot_006""",0.5,0.9519,0.9125
"""shot_006""",0.6,0.9511,0.8806
"""shot_006""",0.8,0.9685,0.8918
"""shot_006""",1.0,0.9499,0.8970
"""shot_007""",0.0,0.8743,1.0000
"""shot_007""",0.1,0.8993,0.9435
"""shot_007""",0.2,0.9193,0.9308
"""shot_007""",0.3,0.9276,0.9140
"""shot_007""",0.4,0.9441,0.8979
"""shot_007""",0.5,0.9358,0.8973
"""shot_007""",0.6,0.9536,0.8904
"""shot_007""",0.8,0.9640,0.8861
"""shot_007""",1.0,0.9640,0.8793
"""shot_008""",0.0,0.8618,1.0000
"""shot_008""",0.1,0.9219,0.9155
"""shot_008""",0.2,0.9330,0.8694
"""shot_008""",0.3,0.9208,0.8408
"""shot_008""",0.4,0.9349,0.8546
"""shot_008""",0.5,0.9452,0.8770
"""shot_008""",0.6,0.9560,0.8685
"""shot_008""",0.8,0.9475,0.8466
"""shot_008""",1.0,0.9361,0.8422
"""shot_009""",0.0,0.9369,1.0000
"""shot_009""",0.1,0.9435,0.9819
"""shot_009""",0.2,0.9475,0.9672
"""shot_009""",0.3,0.9606,0.9485
"""shot_009""",0.4,0.9649,0.9455
"""shot_009""",0.5,0.9462,0.9269
"""shot_009""",0.6,0.9505,0.9151
"""shot_009""",0.8,0.9612,0.9254
"""shot_009""",1.0,0.9666,0.9291
"""shot_010""",0.0,0.9437,1.0000
"""shot_010""",0.1,0.9459,0.9468
"""shot_010""",0.2,0.9386,0.9394
"""shot_010""",0.3,0.9545,0.9539
"""shot_010""",0.4,0.9405,0.9389
