shot,weight,sim_to_reference,sim_to_own_w0
"shot_005",0,0.2745,1.0000
"shot_005",0.1,0.2927,0.9554
"shot_005",0.2,0.3892,0.8865
"shot_005",0.3,0.4750,0.6034
"shot_005",0.4,0.6242,0.5530
"shot_005",0.5,0.8180,0.3824
"shot_005",0.6,0.8862,0.3502
"shot_011",0,0.2994,1.0000
"shot_011",0.1,0.4157,0.8165
"shot_011",0.2,0.4452,0.8407
"shot_011",0.3,0.5528,0.7441
"shot_011",0.4,0.7050,0.5771
"shot_011",0.5,0.7396,0.4879
"shot_011",0.6,0.8203,0.4460
"shot_013",0,0.4656,1.0000
"shot_013",0.1,0.5705,0.9286
"shot_013",0.2,0.6732,0.8451
"shot_013",0.3,0.6961,0.8103
"shot_013",0.4,0.6670,0.8377
"shot_013",0.5,0.7754,0.7390
"shot_013",0.6,0.8436,0.6616

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0,0.3465,1.0000,0.6088
0.1,0.4263,0.9002,0.6091
0.2,0.5025,0.8574,0.6552
0.3,0.5746,0.7193,0.6910
0.4,0.6654,0.6560,0.7932
0.5,0.7776,0.5364,0.7858
0.6,0.8500,0.4860,0.8567
