shot,weight,concept_clip_t
"""shot_001""",0.0,0.2410
"""shot_001""",0.1,0.2616
"""shot_001""",0.2,0.2651
"""shot_001""",0.3,0.2893
"""shot_001""",0.4,0.2968
"""shot_001""",0.5,0.2957
"""shot_001""",0.6,0.3025
"""shot_001""",0.8,0.3096
"""shot_001""",1.0,0.2956
"""shot_002""",0.0,0.2289
"""shot_002""",0.1,0.2264
"""shot_002""",0.2,0.2707
"""shot_002""",0.3,0.3019
"""shot_002""",0.4,0.2795
"""shot_002""",0.5,0.3075
"""shot_002""",0.6,0.3060
"""shot_002""",0.8,0.3028
"""shot_002""",1.0,0.2951
"""shot_003""",0.0,0.3040
"""shot_003""",0.1,0.3049
"""shot_003""",0.2,0.3089
"""shot_003""",0.3,0.3052
"""shot_003""",0.4,0.3012
"""shot_003""",0.5,0.3004
"""shot_003""",0.6,0.3011
"""shot_003""",0.8,0.3037
"""shot_003""",1.0,0.2869
"""shot_004""",0.0,0.2963
"""shot_004""",0.1,0.3141
"""shot_004""",0.2,0.3164
"""shot_004""",0.3,0.3089
"""shot_004""",0.4,0.3166
"""shot_004""",0.5,0.3164
"""shot_004""",0.6,0.3094
"""shot_004""",0.8,0.3119
"""shot_004""",1.0,0.3073
"""shot_005""",0.0,0.3005
"""shot_005""",0.1,0.3048
"""shot_005""",0.2,0.3021
"""shot_005""",0.3,0.3138
"""shot_005""",0.4,0.3078
"""shot_005""",0.5,0.2980
"""shot_005""",0.6,0.3020
"""shot_005""",0.8,0.3055
"""shot_005""",1.0,0.3053
"""shot_006""",0.0,0.2946
"""shot_006""",0.1,0.2960
"""shot_006""",0.2,0.3012
"""shot_006""",0.3,0.3080
"""shot_006""",0.4,0.3016
"""shot_006""",0.5,0.3147
"""shot_006""",0.6,0.3034
"""shot_006""",0.8,0.3051
"""shot_006""",1.0,0.2970
"""shot_007""",0.0,0.2720
"""shot_007""",0.1,0.2975
"""shot_007""",0.2,0.2841
"""shot_007""",0.3,0.2928
"""shot_007""",0.4,0.2890
"""shot_007""",0.5,0.2941
"""shot_007""",0.6,0.2990
"""shot_007""",0.8,0.2958
"""shot_007""",1.0,0.2927
"""shot_008""",0.0,0.3133
"""shot_008""",0.1,0.3094
"""shot_008""",0.2,0.3050
"""shot_008""",0.3,0.3196
"""shot_008""",0.4,0.3169
"""shot_008""",0.5,0.3107
"""shot_008""",0.6,0.3009
"""shot_008""",0.8,0.2968
"""shot_008""",1.0,0.2910
"""shot_009""",0.0,0.3025
"""shot_009""",0.1,0.3097
"""shot_009""",0.2,0.3036
"""shot_009""",0.3,0.3038
"""shot_009""",0.4,0.2942
"""shot_009""",0.5,0.3023
"""shot_009""",0.6,0.3025
"""shot_009""",0.8,0.2935
"""shot_009""",1.0,0.2854
"""shot_010""",0.0,0.2982
"""shot_010""",0.1,0.2972
"""shot_010""",0.2,0.2926
"""shot_010""",0.3,0.2992
"""shot_010""",0.4,0.3126
"""shot_010""",0.5,0.3100
"""shot_010""",0.6,0.3136
"""shot_010""",0.8,0.2922
"""shot_010""",1.0,0.2985
"""shot_011""",0.0,0.2600
"""shot_011""",0.1,0.2704
"""shot_011""",0.2,0.3003
"""shot_011""",0.3,0.2949
"""shot_011""",0.4,0.3006
"""shot_011""",0.5,0.3073
"""shot_011""",0.6,0.3074
"""shot_011""",0.8,0.3061
"""shot_011""",1.0,0.3117
"""shot_012""",0.0,0.2615
"""shot_012""",0.1,0.3049
"""shot_012""",0.2,0.2950
"""shot_012""",0.3,0.2898
"""shot_012""",0.4,0.2933
"""shot_012""",0.5,0.2946
"""shot_012""",0.6,0.3022
"""shot_012""",0.8,0.2994
"""shot_012""",1.0,0.2894
"""shot_013""",0.0,0.2395
"""shot_013""",0.1,0.2427
"""shot_013""",0.2,0.2717
"""shot_013""",0.3,0.3003
"""shot_013""",0.4,0.3037
"""shot_013""",0.5,0.3050
"""shot_013""",0.6,0.3034
"""shot_013""",0.8,0.2966
"""shot_013""",1.0,0.2941
"""shot_014""",0.0,0.2986
"""shot_014""",0.1,0.2812
"""shot_014""",0.2,0.2987
"""shot_014""",0.3,0.2967
"""shot_014""",0.4,0.3076
"""shot_014""",0.5,0.3010
"""shot_014""",0.6,0.3009
"""shot_014""",0.8,0.2876
"""shot_014""",1.0,0.2866
"""shot_015""",0.0,0.2496
"""shot_015""",0.1,0.2538
"""shot_015""",0.2,0.2907
"""shot_015""",0.3,0.2922
"""shot_015""",0.4,0.2999
"""shot_015""",0.5,0.2896
"""shot_015""",0.6,0.3084
"""shot_015""",0.8,0.2907
"""shot_015""",1.0,0.2945
"""shot_016""",0.0,0.2336
"""shot_016""",0.1,0.2908
"""shot_016""",0.2,0.3118
"""shot_016""",0.3,0.3084
"""shot_016""",0.4,0.3042
"""shot_016""",0.5,0.3066
"""shot_016""",0.6,0.3045
"""shot_016""",0.8,0.3080
"""shot_016""",1.0,0.3040
