shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.3028,1.0000
"""shot_001""",0.1,0.4676,0.8495
"""shot_001""",0.2,0.5365,0.6726
"""shot_001""",0.3,0.8727,0.4024
"""shot_001""",0.4,0.7695,0.4294
"""shot_001""",0.5,0.9391,0.3480
"""shot_001""",0.6,0.9383,0.3525
"""shot_001""",0.8,0.9255,0.3442
"""shot_001""",1.0,0.9534,0.3476
"""shot_002""",0.0,0.2770,1.0000
"""shot_002""",0.1,0.3840,0.8588
"""shot_002""",0.2,0.5038,0.6767
"""shot_002""",0.3,0.5806,0.6679
"""shot_002""",0.4,0.9009,0.4514
"""shot_002""",0.5,0.9416,0.3869
"""shot_002""",0.6,0.9332,0.3635
"""shot_002""",0.8,0.9523,0.3180
"""shot_002""",1.0,0.9442,0.3165
"""shot_003""",0.0,0.8956,1.0000
"""shot_003""",0.1,0.9444,0.9343
"""shot_003""",0.2,0.9503,0.9354
"""shot_003""",0.3,0.8819,0.8815
"""shot_003""",0.4,0.8888,0.8944
"""shot_003""",0.5,0.8924,0.9058
"""shot_003""",0.6,0.9036,0.8940
"""shot_003""",0.8,0.9178,0.8803
"""shot_003""",1.0,0.9499,0.8681
"""shot_004""",0.0,0.7034,1.0000
"""shot_004""",0.1,0.8982,0.8692
"""shot_004""",0.2,0.9343,0.7818
"""shot_004""",0.3,0.9575,0.7775
"""shot_004""",0.4,0.9670,0.7231
"""shot_004""",0.5,0.9615,0.7416
"""shot_004""",0.6,0.9539,0.7357
"""shot_004""",0.8,0.9511,0.7214
"""shot_004""",1.0,0.9627,0.6873
"""shot_005""",0.0,0.8885,1.0000
"""shot_005""",0.1,0.9001,0.9860
"""shot_005""",0.2,0.9529,0.9493
"""shot_005""",0.3,0.9573,0.9508
"""shot_005""",0.4,0.9569,0.9263
"""shot_005""",0.5,0.9576,0.9092
"""shot_005""",0.6,0.9552,0.9022
"""shot_005""",0.8,0.9451,0.8956
"""shot_005""",1.0,0.9504,0.8916
"""shot_006""",0.0,0.8972,1.0000
"""shot_006""",0.1,0.9575,0.9486
"""shot_006""",0.2,0.9657,0.9161
"""shot_006""",0.3,0.9668,0.9000
"""shot_006""",0.4,0.9653,0.8812
"""shot_006""",0.5,0.9538,0.8670
"""shot_006""",0.6,0.9522,0.8915
"""shot_006""",0.8,0.9460,0.8885
"""shot_006""",1.0,0.9485,0.8789
"""shot_007""",0.0,0.8869,1.0000
"""shot_007""",0.1,0.9140,0.9508
"""shot_007""",0.2,0.9492,0.9264
"""shot_007""",0.3,0.9384,0.9042
"""shot_007""",0.4,0.9468,0.9134
"""shot_007""",0.5,0.9594,0.9040
"""shot_007""",0.6,0.9604,0.8868
"""shot_007""",0.8,0.9469,0.8557
"""shot_007""",1.0,0.9471,0.8596
"""shot_008""",0.0,0.7713,1.0000
"""shot_008""",0.1,0.8808,0.9318
"""shot_008""",0.2,0.9688,0.8117
"""shot_008""",0.3,0.9531,0.7838
"""shot_008""",0.4,0.9577,0.8025
"""shot_008""",0.5,0.9659,0.8014
"""shot_008""",0.6,0.9596,0.8000
"""shot_008""",0.8,0.9384,0.7820
"""shot_008""",1.0,0.9359,0.7761
"""shot_009""",0.0,1.0000,1.0000
"""shot_009""",0.1,0.9771,0.9771
"""shot_009""",0.2,0.9815,0.9815
"""shot_009""",0.3,0.9752,0.9752
"""shot_009""",0.4,0.9740,0.9740
"""shot_009""",0.5,0.9731,0.9731
"""shot_009""",0.6,0.9719,0.9719
"""shot_009""",0.8,0.9543,0.9543
"""shot_009""",1.0,0.9594,0.9594
"""shot_010""",0.0,0.5666,1.0000
"""shot_010""",0.1,0.8353,0.6892
"""shot_010""",0.2,0.9333,0.6777
"""shot_010""",0.3,0.9317,0.6784
"""shot_010""",0.4,0.9478,0.6326
"""shot_010""",0.5,0.9637,0.5582
"""shot_010""",0.6,0.9573,0.5910
"""shot_010""",0.8,0.9472,0.5785
"""shot_010""",1.0,0.9486,0.5331
"""shot_011""",0.0,0.7079,1.0000
"""shot_011""",0.1,0.7795,0.9566
"""shot_011""",0.2,0.8798,0.8765
"""shot_011""",0.3,0.8890,0.7983
"""shot_011""",0.4,0.9403,0.7538
"""shot_011""",0.5,0.9519,0.7394
"""shot_011""",0.6,0.9648,0.7345
"""shot_011""",0.8,0.9561,0.7049
"""shot_011""",1.0,0.9404,0.7103
"""shot_012""",0.0,0.4207,1.0000
"""shot_012""",0.1,0.7108,0.8297
"""shot_012""",0.2,0.8928,0.6407
"""shot_012""",0.3,0.9650,0.4636
"""shot_012""",0.4,0.9634,0.4771
"""shot_012""",0.5,0.9663,0.4510
"""shot_012""",0.6,0.9637,0.4398
"""shot_012""",0.8,0.9557,0.4202
"""shot_012""",1.0,0.9355,0.3910
"""shot_013""",0.0,0.6564,1.0000
"""shot_013""",0.1,0.7782,0.8688
"""shot_013""",0.2,0.9198,0.6643
"""shot_013""",0.3,0.9467,0.6734
"""shot_013""",0.4,0.9693,0.6417
"""shot_013""",0.5,0.9699,0.6519
"""shot_013""",0.6,0.9527,0.6400
"""shot_013""",0.8,0.9479,0.6299
"""shot_013""",1.0,0.9318,0.6017
"""shot_014""",0.0,0.8887,1.0000
"""shot_014""",0.1,0.9177,0.9221
"""shot_014""",0.2,0.9357,0.8852
"""shot_014""",0.3,0.9647,0.8930
"""shot_014""",0.4,0.9702,0.8731
"""shot_014""",0.5,0.9663,0.8771
"""shot_014""",0.6,0.9529,0.8631
"""shot_014""",0.8,0.9340,0.8073
"""shot_014""",1.0,0.9495,0.8356
"""shot_015""",0.0,0.3657,1.0000
"""shot_015""",0.1,0.3892,0.9286
"""shot_015""",0.2,0.4629,0.8790
"""shot_015""",0.3,0.7027,0.7562
"""shot_015""",0.4,0.9700,0.3983
"""shot_015""",0.5,0.9553,0.3780
"""shot_015""",0.6,0.9371,0.3665
"""shot_015""",0.8,0.9312,0.3380
"""shot_015""",1.0,0.9744,0.3324
"""shot_016""",0.0,0.4022,1.0000
"""shot_016""",0.1,0.7924,0.7280
"""shot_016""",0.2,0.8520,0.6920
"""shot_016""",0.3,0.9409,0.5483
"""shot_016""",0.4,0.9419,0.5264
"""shot_016""",0.5,0.9451,0.4200
"""shot_016""",0.6,0.9556,0.4437
"""shot_016""",0.8,0.9600,0.4337
"""shot_016""",1.0,0.9666,0.4098

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.6644,1.0000,0.5976
0.1,0.7829,0.8893,0.7112
0.2,0.8512,0.8104,0.7792
0.3,0.9015,0.7534,0.8569
0.4,0.9394,0.7062,0.9161
0.5,0.9539,0.6820,0.9473
0.6,0.9508,0.6798,0.9536
0.8,0.9444,0.6595,0.9503
1.0,0.9499,0.6499,0.9625
