shot,weight,concept_clip_t
"""shot_001""",0.0,0.1792
"""shot_001""",0.1,0.1693
"""shot_001""",0.2,0.1674
"""shot_001""",0.3,0.1585
"""shot_001""",0.4,0.1636
"""shot_001""",0.5,0.1625
"""shot_001""",0.6,0.1635
"""shot_001""",0.8,0.1649
"""shot_001""",1.0,0.1648
"""shot_002""",0.0,0.1627
"""shot_002""",0.1,0.1366
"""shot_002""",0.2,0.1318
"""shot_002""",0.3,0.1462
"""shot_002""",0.4,0.1414
"""shot_002""",0.5,0.1555
"""shot_002""",0.6,0.1585
"""shot_002""",0.8,0.1470
"""shot_002""",1.0,0.1436
"""shot_003""",0.0,0.1304
"""shot_003""",0.1,0.1371
"""shot_003""",0.2,0.1505
"""shot_003""",0.3,0.1684
"""shot_003""",0.4,0.1777
"""shot_003""",0.5,0.1590
"""shot_003""",0.6,0.1424
"""shot_003""",0.8,0.1372
"""shot_003""",1.0,0.1494
"""shot_004""",0.0,0.2172
"""shot_004""",0.1,0.1529
"""shot_004""",0.2,0.0847
"""shot_004""",0.3,0.1386
"""shot_004""",0.4,0.1446
"""shot_004""",0.5,0.1353
"""shot_004""",0.6,0.1598
"""shot_004""",0.8,0.1489
"""shot_004""",1.0,0.1607
"""shot_005""",0.0,0.1347
"""shot_005""",0.1,0.1260
"""shot_005""",0.2,0.1441
"""shot_005""",0.3,0.1282
"""shot_005""",0.4,0.1394
"""shot_005""",0.5,0.1343
"""shot_005""",0.6,0.1520
"""shot_005""",0.8,0.1600
"""shot_005""",1.0,0.1615
"""shot_006""",0.0,0.1655
"""shot_006""",0.1,0.1501
"""shot_006""",0.2,0.1774
"""shot_006""",0.3,0.1510
"""shot_006""",0.4,0.1478
"""shot_006""",0.5,0.1537
"""shot_006""",0.6,0.1693
"""shot_006""",0.8,0.1513
"""shot_006""",1.0,0.1652
"""shot_007""",0.0,0.2818
"""shot_007""",0.1,0.2870
"""shot_007""",0.2,0.2429
"""shot_007""",0.3,0.2050
"""shot_007""",0.4,0.2233
"""shot_007""",0.5,0.2110
"""shot_007""",0.6,0.1755
"""shot_007""",0.8,0.1809
"""shot_007""",1.0,0.1637
"""shot_008""",0.0,0.1287
"""shot_008""",0.1,0.1302
"""shot_008""",0.2,0.1707
"""shot_008""",0.3,0.1573
"""shot_008""",0.4,0.1725
"""shot_008""",0.5,0.1820
"""shot_008""",0.6,0.1696
"""shot_008""",0.8,0.1611
"""shot_008""",1.0,0.1468
"""shot_009""",0.0,0.2751
"""shot_009""",0.1,0.2585
"""shot_009""",0.2,0.2120
"""shot_009""",0.3,0.2131
"""shot_009""",0.4,0.1750
"""shot_009""",0.5,0.1825
"""shot_009""",0.6,0.1650
"""shot_009""",0.8,0.1794
"""shot_009""",1.0,0.1681
"""shot_010""",0.0,0.2045
"""shot_010""",0.1,0.1681
"""shot_010""",0.2,0.1611
"""shot_010""",0.3,0.1780
"""shot_010""",0.4,0.1791
"""shot_010""",0.5,0.1544
"""shot_010""",0.6,0.1396
"""shot_010""",0.8,0.1458
"""shot_010""",1.0,0.1767
"""shot_011""",0.0,0.2531
"""shot_011""",0.1,0.1997
"""shot_011""",0.2,0.2023
"""shot_011""",0.3,0.2153
"""shot_011""",0.4,0.2052
"""shot_011""",0.5,0.1748
"""shot_011""",0.6,0.1554
"""shot_011""",0.8,0.1499
"""shot_011""",1.0,0.1638
"""shot_012""",0.0,0.1837
"""shot_012""",0.1,0.1799
"""shot_012""",0.2,0.1789
"""shot_012""",0.3,0.1694
"""shot_012""",0.4,0.1649
"""shot_012""",0.5,0.1833
"""shot_012""",0.6,0.1552
"""shot_012""",0.8,0.1508
"""shot_012""",1.0,0.1615
"""shot_013""",0.0,0.1366
"""shot_013""",0.1,0.1467
"""shot_013""",0.2,0.1811
"""shot_013""",0.3,0.1328
"""shot_013""",0.4,0.1498
"""shot_013""",0.5,0.1730
"""shot_013""",0.6,0.1533
"""shot_013""",0.8,0.1554
"""shot_013""",1.0,0.1459
"""shot_014""",0.0,0.1779
"""shot_014""",0.1,0.1951
"""shot_014""",0.2,0.1598
"""shot_014""",0.3,0.1480
"""shot_014""",0.4,0.1767
"""shot_014""",0.5,0.1599
"""shot_014""",0.6,0.1915
"""shot_014""",0.8,0.1666
"""shot_014""",1.0,0.1698
"""shot_015""",0.0,0.2470
"""shot_015""",0.1,0.2313
"""shot_015""",0.2,0.1399
"""shot_015""",0.3,0.1247
"""shot_015""",0.4,0.1549
"""shot_015""",0.5,0.1719
"""shot_015""",0.6,0.1577
"""shot_015""",0.8,0.1685
"""shot_015""",1.0,0.1524
"""shot_016""",0.0,0.1359
"""shot_016""",0.1,0.1303
"""shot_016""",0.2,0.1370
"""shot_016""",0.3,0.1467
"""shot_016""",0.4,0.1581
"""shot_016""",0.5,0.1638
"""shot_016""",0.6,0.1634
"""shot_016""",0.8,0.1591
"""shot_016""",1.0,0.1668
