shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,1.0000,1.0000
"""shot_001""",0.1,0.9366,0.9366
"""shot_001""",0.2,0.9241,0.9241
"""shot_001""",0.3,0.9300,0.9300
"""shot_001""",0.4,0.9395,0.9395
"""shot_001""",0.5,0.9419,0.9419
"""shot_001""",0.6,0.9324,0.9324
"""shot_001""",0.8,0.8817,0.8817
"""shot_001""",1.0,0.8854,0.8854
"""shot_002""",0.0,0.1219,1.0000
"""shot_002""",0.1,0.1244,0.5614
"""shot_002""",0.2,0.1979,0.5203
"""shot_002""",0.3,0.2114,0.4929
"""shot_002""",0.4,0.6565,0.1129
"""shot_002""",0.5,0.6519,0.1266
"""shot_002""",0.6,0.7671,0.1496
"""shot_002""",0.8,0.7636,0.1157
"""shot_002""",1.0,0.7716,0.0931
"""shot_003""",0.0,0.1601,1.0000
"""shot_003""",0.1,0.1500,0.7139
"""shot_003""",0.2,0.4540,0.3148
"""shot_003""",0.3,0.5678,0.1865
"""shot_003""",0.4,0.7650,0.2228
"""shot_003""",0.5,0.7247,0.1851
"""shot_003""",0.6,0.8111,0.1728
"""shot_003""",0.8,0.8231,0.1574
"""shot_003""",1.0,0.7914,0.1917
"""shot_004""",0.0,0.1403,1.0000
"""shot_004""",0.1,0.1378,0.5243
"""shot_004""",0.2,0.1643,0.3354
"""shot_004""",0.3,0.2792,0.3538
"""shot_004""",0.4,0.5658,0.1861
"""shot_004""",0.5,0.7382,0.1735
"""shot_004""",0.6,0.7831,0.1679
"""shot_004""",0.8,0.7908,0.1439
"""shot_004""",1.0,0.7587,0.1468
"""shot_005""",0.0,0.0778,1.0000
"""shot_005""",0.1,0.0954,0.8451
"""shot_005""",0.2,0.1213,0.7125
"""shot_005""",0.3,0.2509,0.1011
"""shot_005""",0.4,0.6416,0.1195
"""shot_005""",0.5,0.7142,0.0976
"""shot_005""",0.6,0.7493,0.0999
"""shot_005""",0.8,0.7972,0.0792
"""shot_005""",1.0,0.8083,0.0976
"""shot_006""",0.0,0.1430,1.0000
"""shot_006""",0.1,0.1644,0.6923
"""shot_006""",0.2,0.3396,0.4346
"""shot_006""",0.3,0.5674,0.1920
"""shot_006""",0.4,0.7968,0.1318
"""shot_006""",0.5,0.7925,0.1361
"""shot_006""",0.6,0.8565,0.1343
"""shot_006""",0.8,0.8213,0.1483
"""shot_006""",1.0,0.7676,0.1277
"""shot_007""",0.0,0.1128,1.0000
"""shot_007""",0.1,0.1258,0.8547
"""shot_007""",0.2,0.1868,0.4204
"""shot_007""",0.3,0.2146,0.2751
"""shot_007""",0.4,0.2577,0.2072
"""shot_007""",0.5,0.4793,0.2109
"""shot_007""",0.6,0.6469,0.1829
"""shot_007""",0.8,0.7523,0.1067
"""shot_007""",1.0,0.8076,0.1416
"""shot_008""",0.0,0.0829,1.0000
"""shot_008""",0.1,0.1785,0.4855
"""shot_008""",0.2,0.3295,0.2018
"""shot_008""",0.3,0.4708,0.1260
"""shot_008""",0.4,0.5246,0.1058
"""shot_008""",0.5,0.6243,0.1400
"""shot_008""",0.6,0.7802,0.0714
"""shot_008""",0.8,0.8025,0.0773
"""shot_008""",1.0,0.7113,0.0642
"""shot_009""",0.0,0.1304,1.0000
"""shot_009""",0.1,0.1455,0.4982
"""shot_009""",0.2,0.2025,0.3320
"""shot_009""",0.3,0.3964,0.2087
"""shot_009""",0.4,0.5039,0.1415
"""shot_009""",0.5,0.7185,0.1506
"""shot_009""",0.6,0.7001,0.1572
"""shot_009""",0.8,0.8320,0.1563
