shot,weight,concept_clip_t
"""shot_001""",0.0,0.1654
"""shot_001""",0.1,0.1701
"""shot_001""",0.2,0.1807
"""shot_001""",0.3,0.1751
"""shot_001""",0.4,0.1795
"""shot_001""",0.5,0.1770
"""shot_001""",0.6,0.1632
"""shot_001""",0.8,0.1724
"""shot_001""",1.0,0.1680
"""shot_002""",0.0,0.1674
"""shot_002""",0.1,0.1551
"""shot_002""",0.2,0.1596
"""shot_002""",0.3,0.1761
"""shot_002""",0.4,0.1702
"""shot_002""",0.5,0.1569
"""shot_002""",0.6,0.1587
"""shot_002""",0.8,0.1590
"""shot_002""",1.0,0.1637
"""shot_003""",0.0,0.2745
"""shot_003""",0.1,0.2979
"""shot_003""",0.2,0.2758
"""shot_003""",0.3,0.2618
"""shot_003""",0.4,0.2683
"""shot_003""",0.5,0.2261
"""shot_003""",0.6,0.1627
"""shot_003""",0.8,0.1504
"""shot_003""",1.0,0.1757
"""shot_004""",0.0,0.2713
"""shot_004""",0.1,0.2540
"""shot_004""",0.2,0.2618
"""shot_004""",0.3,0.2739
"""shot_004""",0.4,0.2180
"""shot_004""",0.5,0.2073
"""shot_004""",0.6,0.1662
"""shot_004""",0.8,0.1654
"""shot_004""",1.0,0.1666
"""shot_005""",0.0,0.2683
"""shot_005""",0.1,0.2804
"""shot_005""",0.2,0.3074
"""shot_005""",0.3,0.2486
"""shot_005""",0.4,0.2064
"""shot_005""",0.5,0.1988
"""shot_005""",0.6,0.1797
"""shot_005""",0.8,0.1825
"""shot_005""",1.0,0.1774
"""shot_006""",0.0,0.2694
"""shot_006""",0.1,0.2380
"""shot_006""",0.2,0.2441
"""shot_006""",0.3,0.2135
"""shot_006""",0.4,0.1379
"""shot_006""",0.5,0.1553
"""shot_006""",0.6,0.1517
"""shot_006""",0.8,0.1729
"""shot_006""",1.0,0.1629
"""shot_007""",0.0,0.2736
"""shot_007""",0.1,0.2720
"""shot_007""",0.2,0.2470
"""shot_007""",0.3,0.2160
"""shot_007""",0.4,0.2106
"""shot_007""",0.5,0.2041
"""shot_007""",0.6,0.1716
"""shot_007""",0.8,0.1673
"""shot_007""",1.0,0.1861
"""shot_008""",0.0,0.1660
"""shot_008""",0.1,0.1735
"""shot_008""",0.2,0.1926
"""shot_008""",0.3,0.1823
"""shot_008""",0.4,0.1664
"""shot_008""",0.5,0.1366
"""shot_008""",0.6,0.1533
"""shot_008""",0.8,0.1697
"""shot_008""",1.0,0.1807
"""shot_009""",0.0,0.2172
"""shot_009""",0.1,0.2547
"""shot_009""",0.2,0.1715
"""shot_009""",0.3,0.1460
"""shot_009""",0.4,0.2023
"""shot_009""",0.5,0.1656
"""shot_009""",0.6,0.1891
"""shot_009""",0.8,0.1686
"""shot_009""",1.0,0.2016
"""shot_010""",0.0,0.2068
"""shot_010""",0.1,0.1759
"""shot_010""",0.2,0.1917
"""shot_010""",0.3,0.1736
"""shot_010""",0.4,0.1501
"""shot_010""",0.5,0.1596
"""shot_010""",0.6,0.1719
"""shot_010""",0.8,0.1599
"""shot_010""",1.0,0.1862
"""shot_011""",0.0,0.2362
"""shot_011""",0.1,0.2296
"""shot_011""",0.2,0.2520
"""shot_011""",0.3,0.2159
"""shot_011""",0.4,0.1590
"""shot_011""",0.5,0.1623
"""shot_011""",0.6,0.1405
"""shot_011""",0.8,0.1550
"""shot_011""",1.0,0.1753
"""shot_012""",0.0,0.2523
"""shot_012""",0.1,0.2490
"""shot_012""",0.2,0.2353
"""shot_012""",0.3,0.2189
"""shot_012""",0.4,0.1801
"""shot_012""",0.5,0.1969
"""shot_012""",0.6,0.1976
"""shot_012""",0.8,0.1883
"""shot_012""",1.0,0.1754
"""shot_013""",0.0,0.1810
"""shot_013""",0.1,0.1840
"""shot_013""",0.2,0.1804
"""shot_013""",0.3,0.1771
"""shot_013""",0.4,0.2123
"""shot_013""",0.5,0.1746
"""shot_013""",0.6,0.1859
"""shot_013""",0.8,0.1698
"""shot_013""",1.0,0.1929
"""shot_014""",0.0,0.2818
"""shot_014""",0.1,0.2986
"""shot_014""",0.2,0.2772
"""shot_014""",0.3,0.2831
"""shot_014""",0.4,0.1883
"""shot_014""",0.5,0.1777
"""shot_014""",0.6,0.1465
"""shot_014""",0.8,0.1444
"""shot_014""",1.0,0.1710
"""shot_015""",0.0,0.1489
"""shot_015""",0.1,0.1364
"""shot_015""",0.2,0.1338
"""shot_015""",0.3,0.1435
"""shot_015""",0.4,0.1565
"""shot_015""",0.5,0.1642
"""shot_015""",0.6,0.1858
"""shot_015""",0.8,0.1868
"""shot_015""",1.0,0.1771
"""shot_016""",0.0,0.1753
"""shot_016""",0.1,0.1631
"""shot_016""",0.2,0.1729
"""shot_016""",0.3,0.1520
"""shot_016""",0.4,0.1749
"""shot_016""",0.5,0.1570
"""shot_016""",0.6,0.1701
"""shot_016""",0.8,0.1719
"""shot_016""",1.0,0.1859
