shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,1.0000,1.0000
"""shot_001""",0.1,0.9741,0.9741
"""shot_001""",0.2,0.9356,0.9356
"""shot_001""",0.3,0.9433,0.9433
"""shot_001""",0.4,0.9203,0.9203
"""shot_001""",0.5,0.9232,0.9232
"""shot_001""",0.6,0.9210,0.9210
"""shot_001""",0.8,0.8894,0.8894
"""shot_001""",1.0,0.8926,0.8926
"""shot_002""",0.0,0.7188,1.0000
"""shot_002""",0.1,0.7112,0.8591
"""shot_002""",0.2,0.8379,0.7282
"""shot_002""",0.3,0.9014,0.7828
"""shot_002""",0.4,0.8884,0.7424
"""shot_002""",0.5,0.8467,0.7257
"""shot_002""",0.6,0.8998,0.7379
"""shot_002""",0.8,0.8194,0.7175
"""shot_002""",1.0,0.8659,0.7505
"""shot_003""",0.0,0.0648,1.0000
"""shot_003""",0.1,0.0895,0.7589
"""shot_003""",0.2,0.0646,0.7400
"""shot_003""",0.3,0.1203,0.6928
"""shot_003""",0.4,0.1393,0.7410
"""shot_003""",0.5,0.1378,0.5706
"""shot_003""",0.6,0.3616,0.2697
"""shot_003""",0.8,0.4458,0.3188
"""shot_003""",1.0,0.5258,0.2529
"""shot_004""",0.0,0.0887,1.0000
"""shot_004""",0.1,0.0854,0.6754
"""shot_004""",0.2,0.1103,0.5324
"""shot_004""",0.3,0.1318,0.4867
"""shot_004""",0.4,0.2198,0.3793
"""shot_004""",0.5,0.2612,0.3023
"""shot_004""",0.6,0.3656,0.2527
"""shot_004""",0.8,0.3932,0.2198
"""shot_004""",1.0,0.3872,0.2035
"""shot_005""",0.0,0.0323,1.0000
"""shot_005""",0.1,0.0484,0.8984
"""shot_005""",0.2,0.0988,0.6041
"""shot_005""",0.3,0.2461,0.2707
"""shot_005""",0.4,0.3312,0.1958
"""shot_005""",0.5,0.2849,0.2359
"""shot_005""",0.6,0.3973,0.1336
"""shot_005""",0.8,0.6254,0.1217
"""shot_005""",1.0,0.5611,0.1480
"""shot_006""",0.0,0.1005,1.0000
"""shot_006""",0.1,0.1422,0.6432
"""shot_006""",0.2,0.2166,0.4158
"""shot_006""",0.3,0.2181,0.3314
"""shot_006""",0.4,0.3345,0.2553
"""shot_006""",0.5,0.3997,0.2600
"""shot_006""",0.6,0.4275,0.2648
"""shot_006""",0.8,0.4591,0.2151
"""shot_006""",1.0,0.6154,0.2442
"""shot_007""",0.0,0.0930,1.0000
"""shot_007""",0.1,0.0635,0.8947
"""shot_007""",0.2,0.1975,0.6480
"""shot_007""",0.3,0.1548,0.4902
"""shot_007""",0.4,0.2481,0.3406
"""shot_007""",0.5,0.3639,0.3219
"""shot_007""",0.6,0.4809,0.3252
"""shot_007""",0.8,0.4340,0.2635
"""shot_007""",1.0,0.4275,0.2530
"""shot_008""",0.0,0.1251,1.0000
"""shot_008""",0.1,0.0987,0.8646
"""shot_008""",0.2,0.1313,0.8062
"""shot_008""",0.3,0.3251,0.6377
"""shot_008""",0.4,0.4827,0.4361
"""shot_008""",0.5,0.3750,0.2974
"""shot_008""",0.6,0.6249,0.2413
"""shot_008""",0.8,0.4881,0.2488
"""shot_008""",1.0,0.4088,0.2485
"""shot_009""",0.0,0.0859,1.0000
"""shot_009""",0.1,0.1158,0.6827
"""shot_009""",0.2,0.2039,0.4749
"""shot_009""",0.3,0.2305,0.3393
"""shot_009""",0.4,0.2606,0.2466
"""shot_009""",0.5,0.3379,0.2486
"""shot_009""",0.6,0.4202,0.2004
"""shot_009""",0.8,0.6040,0.1877
"""shot_009""",1.0,0.6233,0.1921
