concept_text,"""a colorful cartoon illustration of photosynthesis, a green leaf turning sunlight into energy"""
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"""shot_001""",0.1,0.7019,0.2075
"""shot_002""",0.1,0.7469,0.1813
"""shot_003""",0.0,1.0000,0.2650
"""shot_004""",0.0,1.0000,0.2333
"""shot_005""",0.2,0.7346,0.2271
"""shot_006""",0.1,0.9208,0.2213
"""shot_007""",0.2,0.7014,0.2123
"""shot_008""",0.0,1.0000,0.2669
"""shot_009""",1.0,0.9079,0.2322
"""shot_010""",0.3,0.8089,0.2040
"""shot_011""",0.3,0.7083,0.2202
"""shot_012""",0.1,0.9093,0.1889
"""shot_013""",0.2,0.7387,0.1980
"""shot_014""",0.0,1.0000,0.1421
"""shot_015""",0.2,0.7252,0.1937
"""shot_016""",0.2,0.7997,0.1904

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"""adaptive""",0.2115,0.8377
