shot,weight,concept_clip_t
"""shot_001""",0.0,0.2127
"""shot_001""",0.1,0.2075
"""shot_001""",0.2,0.1643
"""shot_001""",0.3,0.1910
"""shot_001""",0.4,0.1927
"""shot_001""",0.5,0.1961
"""shot_001""",0.6,0.1874
"""shot_001""",0.8,0.2029
"""shot_001""",1.0,0.2309
"""shot_002""",0.0,0.1696
"""shot_002""",0.1,0.1813
"""shot_002""",0.2,0.1605
"""shot_002""",0.3,0.1545
"""shot_002""",0.4,0.1674
"""shot_002""",0.5,0.1883
"""shot_002""",0.6,0.1946
"""shot_002""",0.8,0.2156
"""shot_002""",1.0,0.2164
"""shot_003""",0.0,0.2650
"""shot_003""",0.1,0.2210
"""shot_003""",0.2,0.2274
"""shot_003""",0.3,0.2068
"""shot_003""",0.4,0.2071
"""shot_003""",0.5,0.2025
"""shot_003""",0.6,0.1903
"""shot_003""",0.8,0.1832
"""shot_003""",1.0,0.2344
"""shot_004""",0.0,0.2333
"""shot_004""",0.1,0.2318
"""shot_004""",0.2,0.2269
"""shot_004""",0.3,0.2407
"""shot_004""",0.4,0.2067
"""shot_004""",0.5,0.2211
"""shot_004""",0.6,0.2076
"""shot_004""",0.8,0.2163
"""shot_004""",1.0,0.2081
"""shot_005""",0.0,0.2201
"""shot_005""",0.1,0.2272
"""shot_005""",0.2,0.2271
"""shot_005""",0.3,0.2302
"""shot_005""",0.4,0.2248
"""shot_005""",0.5,0.2022
"""shot_005""",0.6,0.2255
"""shot_005""",0.8,0.1945
"""shot_005""",1.0,0.2221
"""shot_006""",0.0,0.2406
"""shot_006""",0.1,0.2213
"""shot_006""",0.2,0.2394
"""shot_006""",0.3,0.2147
"""shot_006""",0.4,0.1963
"""shot_006""",0.5,0.1954
"""shot_006""",0.6,0.1855
"""shot_006""",0.8,0.2135
"""shot_006""",1.0,0.2134
"""shot_007""",0.0,0.2036
"""shot_007""",0.1,0.2034
"""shot_007""",0.2,0.2123
"""shot_007""",0.3,0.2133
"""shot_007""",0.4,0.2296
"""shot_007""",0.5,0.1941
"""shot_007""",0.6,0.2178
"""shot_007""",0.8,0.2149
"""shot_007""",1.0,0.2217
"""shot_008""",0.0,0.2669
"""shot_008""",0.1,0.1859
"""shot_008""",0.2,0.2444
"""shot_008""",0.3,0.2547
"""shot_008""",0.4,0.2152
"""shot_008""",0.5,0.2123
"""shot_008""",0.6,0.2193
"""shot_008""",0.8,0.2298
"""shot_008""",1.0,0.2323
"""shot_009""",0.0,0.2119
"""shot_009""",0.1,0.2110
"""shot_009""",0.2,0.1937
"""shot_009""",0.3,0.2218
"""shot_009""",0.4,0.2292
"""shot_009""",0.5,0.2309
"""shot_009""",0.6,0.2327
"""shot_009""",0.8,0.2278
"""shot_009""",1.0,0.2322
"""shot_010""",0.0,0.1921
"""shot_010""",0.1,0.1937
"""shot_010""",0.2,0.1934
"""shot_010""",0.3,0.2040
"""shot_010""",0.4,0.1912
"""shot_010""",0.5,0.2145
"""shot_010""",0.6,0.2008
"""shot_010""",0.8,0.2081
"""shot_010""",1.0,0.2178
"""shot_011""",0.0,0.1909
"""shot_011""",0.1,0.1937
"""shot_011""",0.2,0.2319
"""shot_011""",0.3,0.2202
"""shot_011""",0.4,0.2219
"""shot_011""",0.5,0.2209
"""shot_011""",0.6,0.2219
"""shot_011""",0.8,0.2170
"""shot_011""",1.0,0.2253
"""shot_012""",0.0,0.1890
"""shot_012""",0.1,0.1889
"""shot_012""",0.2,0.2291
"""shot_012""",0.3,0.2319
"""shot_012""",0.4,0.2219
"""shot_012""",0.5,0.2011
"""shot_012""",0.6,0.2033
"""shot_012""",0.8,0.2073
"""shot_012""",1.0,0.2162
"""shot_013""",0.0,0.2145
"""shot_013""",0.1,0.1958
"""shot_013""",0.2,0.1980
"""shot_013""",0.3,0.2197
"""shot_013""",0.4,0.2153
"""shot_013""",0.5,0.2312
"""shot_013""",0.6,0.2061
"""shot_013""",0.8,0.2208
"""shot_013""",1.0,0.2329
"""shot_014""",0.0,0.1421
"""shot_014""",0.1,0.1608
"""shot_014""",0.2,0.2069
"""shot_014""",0.3,0.1980
"""shot_014""",0.4,0.2008
"""shot_014""",0.5,0.2218
"""shot_014""",0.6,0.2176
"""shot_014""",0.8,0.2200
"""shot_014""",1.0,0.2176
"""shot_015""",0.0,0.2287
"""shot_015""",0.1,0.2008
"""shot_015""",0.2,0.1937
"""shot_015""",0.3,0.1952
"""shot_015""",0.4,0.2226
"""shot_015""",0.5,0.2148
"""shot_015""",0.6,0.2122
"""shot_015""",0.8,0.2302
"""shot_015""",1.0,0.2206
"""shot_016""",0.0,0.2111
"""shot_016""",0.1,0.1939
"""shot_016""",0.2,0.1904
"""shot_016""",0.3,0.1912
"""shot_016""",0.4,0.1878
"""shot_016""",0.5,0.1843
"""shot_016""",0.6,0.1928
"""shot_016""",0.8,0.2202
"""shot_016""",1.0,0.2207
