shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.2832,1.0000
"""shot_001""",0.1,0.3896,0.7019
"""shot_001""",0.2,0.4094,0.6138
"""shot_001""",0.3,0.4701,0.5173
"""shot_001""",0.4,0.6659,0.3500
"""shot_001""",0.5,0.7812,0.2662
"""shot_001""",0.6,0.7934,0.2763
"""shot_001""",0.8,0.8398,0.3068
"""shot_001""",1.0,0.8481,0.2862
"""shot_002""",0.0,0.2404,1.0000
"""shot_002""",0.1,0.3311,0.7469
"""shot_002""",0.2,0.4409,0.3762
"""shot_002""",0.3,0.5030,0.4128
"""shot_002""",0.4,0.5617,0.3339
"""shot_002""",0.5,0.7004,0.3249
"""shot_002""",0.6,0.7553,0.2889
"""shot_002""",0.8,0.8298,0.2557
"""shot_002""",1.0,0.8558,0.2784
"""shot_003""",0.0,0.3559,1.0000
"""shot_003""",0.1,0.5686,0.5546
"""shot_003""",0.2,0.6335,0.5319
"""shot_003""",0.3,0.6871,0.4689
"""shot_003""",0.4,0.6806,0.4222
"""shot_003""",0.5,0.8141,0.3363
"""shot_003""",0.6,0.8342,0.3546
"""shot_003""",0.8,0.8767,0.3470
"""shot_003""",1.0,0.8732,0.3306
"""shot_004""",0.0,0.2615,1.0000
"""shot_004""",0.1,0.2386,0.6592
"""shot_004""",0.2,0.4497,0.4860
"""shot_004""",0.3,0.6923,0.3683
"""shot_004""",0.4,0.7213,0.3164
"""shot_004""",0.5,0.7698,0.3046
"""shot_004""",0.6,0.8618,0.2784
"""shot_004""",0.8,0.8177,0.3122
"""shot_004""",1.0,0.8229,0.3055
"""shot_005""",0.0,0.4595,1.0000
"""shot_005""",0.1,0.4056,0.8192
"""shot_005""",0.2,0.5280,0.7346
"""shot_005""",0.3,0.6483,0.5965
"""shot_005""",0.4,0.6972,0.5568
"""shot_005""",0.5,0.7613,0.5298
"""shot_005""",0.6,0.7931,0.5930
"""shot_005""",0.8,0.8577,0.4728
"""shot_005""",1.0,0.8921,0.4509
"""shot_006""",0.0,0.4896,1.0000
"""shot_006""",0.1,0.5318,0.9208
"""shot_006""",0.2,0.6412,0.6946
"""shot_006""",0.3,0.6159,0.6148
"""shot_006""",0.4,0.6498,0.5798
"""shot_006""",0.5,0.7579,0.5569
"""shot_006""",0.6,0.8182,0.5021
"""shot_006""",0.8,0.8418,0.4572
"""shot_006""",1.0,0.8752,0.4765
"""shot_007""",0.0,0.6154,1.0000
"""shot_007""",0.1,0.5890,0.7495
"""shot_007""",0.2,0.6872,0.7014
"""shot_007""",0.3,0.6846,0.6720
"""shot_007""",0.4,0.7091,0.6146
"""shot_007""",0.5,0.8068,0.6292
"""shot_007""",0.6,0.8120,0.5935
"""shot_007""",0.8,0.8360,0.5824
"""shot_007""",1.0,0.8797,0.6285
"""shot_008""",0.0,0.2955,1.0000
"""shot_008""",0.1,0.4139,0.6805
"""shot_008""",0.2,0.4215,0.5432
"""shot_008""",0.3,0.7014,0.3795
"""shot_008""",0.4,0.7454,0.3230
"""shot_008""",0.5,0.7778,0.3165
"""shot_008""",0.6,0.8536,0.2973
"""shot_008""",0.8,0.8675,0.3269
"""shot_008""",1.0,0.8852,0.3234
"""shot_009""",0.0,1.0000,1.0000
"""shot_009""",0.1,0.9432,0.9432
"""shot_009""",0.2,0.8721,0.8721
"""shot_009""",0.3,0.9278,0.9278
"""shot_009""",0.4,0.9003,0.9003
"""shot_009""",0.5,0.8978,0.8978
"""shot_009""",0.6,0.8836,0.8836
"""shot_009""",0.8,0.9000,0.9000
"""shot_009""",1.0,0.9079,0.9079
"""shot_010""",0.0,0.4311,1.0000
"""shot_010""",0.1,0.3979,0.9174
"""shot_010""",0.2,0.4479,0.9235
"""shot_010""",0.3,0.4588,0.8089
"""shot_010""",0.4,0.6603,0.6360
"""shot_010""",0.5,0.6594,0.4824
"""shot_010""",0.6,0.7935,0.4577
"""shot_010""",0.8,0.8596,0.4429
"""shot_010""",1.0,0.8562,0.3846
"""shot_011""",0.0,0.1809,1.0000
"""shot_011""",0.1,0.2070,0.9165
"""shot_011""",0.2,0.2787,0.8368
"""shot_011""",0.3,0.3196,0.7083
"""shot_011""",0.4,0.7136,0.3187
"""shot_011""",0.5,0.7383,0.2721
"""shot_011""",0.6,0.8637,0.2223
"""shot_011""",0.8,0.8707,0.1656
"""shot_011""",1.0,0.8954,0.1669
"""shot_012""",0.0,0.1228,1.0000
"""shot_012""",0.1,0.1652,0.9093
"""shot_012""",0.2,0.2379,0.6895
"""shot_012""",0.3,0.5438,0.2746
"""shot_012""",0.4,0.7854,0.1890
"""shot_012""",0.5,0.7452,0.1314
"""shot_012""",0.6,0.7059,0.1309
"""shot_012""",0.8,0.8405,0.1439
"""shot_012""",1.0,0.8728,0.1020
"""shot_013""",0.0,0.1222,1.0000
"""shot_013""",0.1,0.1645,0.8321
"""shot_013""",0.2,0.2294,0.7387
"""shot_013""",0.3,0.4669,0.3707
"""shot_013""",0.4,0.6455,0.2187
"""shot_013""",0.5,0.7969,0.1554
"""shot_013""",0.6,0.8047,0.2175
"""shot_013""",0.8,0.8150,0.1823
"""shot_013""",1.0,0.8838,0.1803
"""shot_014""",0.0,0.3365,1.0000
"""shot_014""",0.1,0.3199,0.6947
"""shot_014""",0.2,0.5042,0.4595
"""shot_014""",0.3,0.6264,0.5364
"""shot_014""",0.4,0.6224,0.3634
"""shot_014""",0.5,0.8249,0.3598
"""shot_014""",0.6,0.8244,0.3807
"""shot_014""",0.8,0.8666,0.3832
"""shot_014""",1.0,0.8436,0.4151
"""shot_015""",0.0,0.3710,1.0000
"""shot_015""",0.1,0.4888,0.7092
"""shot_015""",0.2,0.5527,0.7252
"""shot_015""",0.3,0.7446,0.4951
"""shot_015""",0.4,0.7350,0.5208
"""shot_015""",0.5,0.7709,0.4468
"""shot_015""",0.6,0.7810,0.4290
"""shot_015""",0.8,0.8734,0.4076
"""shot_015""",1.0,0.8315,0.4291
"""shot_016""",0.0,0.3906,1.0000
"""shot_016""",0.1,0.3817,0.8028
"""shot_016""",0.2,0.4400,0.7997
"""shot_016""",0.3,0.7695,0.5398
"""shot_016""",0.4,0.7933,0.4702
