shot,weight,sim_to_reference,sim_to_own_w0
"""shot_001""",0.0,0.7794,1.0000
"""shot_001""",0.1,0.7739,0.8111
"""shot_001""",0.2,0.8273,0.8065
"""shot_001""",0.3,0.8961,0.8027
"""shot_001""",0.4,0.8685,0.7245
"""shot_001""",0.5,0.9209,0.7705
"""shot_001""",0.6,0.9311,0.7720
"""shot_001""",0.8,0.9222,0.7422
"""shot_001""",1.0,0.9528,0.7612
"""shot_002""",0.0,0.8496,1.0000
"""shot_002""",0.1,0.8713,0.9612
"""shot_002""",0.2,0.9259,0.8861
"""shot_002""",0.3,0.9403,0.9154
"""shot_002""",0.4,0.9545,0.8467
"""shot_002""",0.5,0.9366,0.8374
"""shot_002""",0.6,0.9448,0.8379
"""shot_002""",0.8,0.9558,0.8370
"""shot_002""",1.0,0.9160,0.7748
"""shot_003""",0.0,0.8398,1.0000
"""shot_003""",0.1,0.8715,0.9599
"""shot_003""",0.2,0.8816,0.8985
"""shot_003""",0.3,0.9296,0.8933
"""shot_003""",0.4,0.9498,0.8367
"""shot_003""",0.5,0.9418,0.8141
"""shot_003""",0.6,0.9473,0.8536
"""shot_003""",0.8,0.9405,0.8340
"""shot_003""",1.0,0.9497,0.8232
"""shot_004""",0.0,0.7500,1.0000
"""shot_004""",0.1,0.8576,0.8543
"""shot_004""",0.2,0.9159,0.8011
"""shot_004""",0.3,0.9273,0.7535
"""shot_004""",0.4,0.9282,0.7832
"""shot_004""",0.5,0.9276,0.7675
"""shot_004""",0.6,0.9213,0.7627
"""shot_004""",0.8,0.9091,0.7311
"""shot_004""",1.0,0.8714,0.7149
"""shot_005""",0.0,0.8684,1.0000
"""shot_005""",0.1,0.9248,0.9150
"""shot_005""",0.2,0.9365,0.8803
"""shot_005""",0.3,0.9349,0.8662
"""shot_005""",0.4,0.9196,0.8364
"""shot_005""",0.5,0.9252,0.8373
"""shot_005""",0.6,0.9398,0.8394
"""shot_005""",0.8,0.9402,0.8271
"""shot_005""",1.0,0.9358,0.8514
"""shot_006""",0.0,0.8321,1.0000
"""shot_006""",0.1,0.8680,0.9038
"""shot_006""",0.2,0.9469,0.8663
"""shot_006""",0.3,0.9004,0.8309
"""shot_006""",0.4,0.9332,0.8156
"""shot_006""",0.5,0.9370,0.8499
"""shot_006""",0.6,0.9432,0.8557
"""shot_006""",0.8,0.9302,0.8159
"""shot_006""",1.0,0.9378,0.7929
"""shot_007""",0.0,0.8809,1.0000
"""shot_007""",0.1,0.8946,0.9354
"""shot_007""",0.2,0.9247,0.9125
"""shot_007""",0.3,0.9056,0.8623
"""shot_007""",0.4,0.9156,0.8531
"""shot_007""",0.5,0.9313,0.8845
"""shot_007""",0.6,0.9138,0.8377
"""shot_007""",0.8,0.9420,0.8605
"""shot_007""",1.0,0.9267,0.8776
"""shot_008""",0.0,0.9065,1.0000
"""shot_008""",0.1,0.9098,0.9474
"""shot_008""",0.2,0.9245,0.9053
"""shot_008""",0.3,0.8837,0.8681
"""shot_008""",0.4,0.9428,0.8772
"""shot_008""",0.5,0.9072,0.8598
"""shot_008""",0.6,0.9396,0.8645
"""shot_008""",0.8,0.9452,0.8718
"""shot_008""",1.0,0.9164,0.8794
"""shot_009""",0.0,0.8309,1.0000
"""shot_009""",0.1,0.8647,0.9400
"""shot_009""",0.2,0.9290,0.8533
"""shot_009""",0.3,0.9004,0.8200
"""shot_009""",0.4,0.9279,0.8744
"""shot_009""",0.5,0.9249,0.7994
"""shot_009""",0.6,0.9132,0.7719
"""shot_009""",0.8,0.9088,0.7671
"""shot_009""",1.0,0.9447,0.7961
"""shot_010""",0.0,0.4918,1.0000
"""shot_010""",0.1,0.6082,0.8405
"""shot_010""",0.2,0.6757,0.7859
"""shot_010""",0.3,0.8736,0.6091
"""shot_010""",0.4,0.9317,0.4747
"""shot_010""",0.5,0.9205,0.4373
"""shot_010""",0.6,0.9194,0.4546
"""shot_010""",0.8,0.9522,0.4588
"""shot_010""",1.0,0.9368,0.4800
"""shot_011""",0.0,0.7834,1.0000
"""shot_011""",0.1,0.8600,0.9099
"""shot_011""",0.2,0.8770,0.8362
"""shot_011""",0.3,0.8906,0.8357
"""shot_011""",0.4,0.9244,0.7925
"""shot_011""",0.5,0.9122,0.7890
"""shot_011""",0.6,0.9207,0.8079
"""shot_011""",0.8,0.9015,0.8291
"""shot_011""",1.0,0.9305,0.7681
"""shot_012""",0.0,0.5479,1.0000
"""shot_012""",0.1,0.8935,0.6954
"""shot_012""",0.2,0.9317,0.5497
"""shot_012""",0.3,0.9036,0.5234
"""shot_012""",0.4,0.9286,0.5154
"""shot_012""",0.5,0.9321,0.5203
"""shot_012""",0.6,0.9301,0.5159
"""shot_012""",0.8,0.9481,0.5369
"""shot_012""",1.0,0.9558,0.5176
"""shot_013""",0.0,0.7284,1.0000
"""shot_013""",0.1,0.8560,0.7990
"""shot_013""",0.2,0.9300,0.7409
"""shot_013""",0.3,0.9279,0.7382
"""shot_013""",0.4,0.9448,0.6875
"""shot_013""",0.5,0.9444,0.7040
"""shot_013""",0.6,0.9419,0.7121
"""shot_013""",0.8,0.9552,0.7211
"""shot_013""",1.0,0.9327,0.7297
"""shot_014""",0.0,0.9107,1.0000
"""shot_014""",0.1,0.9072,0.9410
"""shot_014""",0.2,0.9205,0.9455
"""shot_014""",0.3,0.9204,0.9373
"""shot_014""",0.4,0.9114,0.9118
"""shot_014""",0.5,0.9133,0.9224
"""shot_014""",0.6,0.9210,0.9143
"""shot_014""",0.8,0.9174,0.8839
"""shot_014""",1.0,0.9222,0.8294
"""shot_015""",0.0,0.6238,1.0000
"""shot_015""",0.1,0.7737,0.7623
"""shot_015""",0.2,0.9104,0.7066
"""shot_015""",0.3,0.9286,0.6819
"""shot_015""",0.4,0.9490,0.6581
"""shot_015""",0.5,0.9250,0.6570
"""shot_015""",0.6,0.9426,0.6383
"""shot_015""",0.8,0.9418,0.5763
"""shot_015""",1.0,0.9446,0.5382
"""shot_016""",0.0,0.8785,1.0000
"""shot_016""",0.1,0.8201,0.9198
"""shot_016""",0.2,0.8531,0.8790
"""shot_016""",0.3,0.9132,0.9291
"""shot_016""",0.4,0.9253,0.9128
"""shot_016""",0.5,0.9334,0.8925
"""shot_016""",0.6,0.9497,0.8910
"""shot_016""",0.8,0.9417,0.8827
"""shot_016""",1.0,0.9018,0.8270

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.7814,1.0000,0.6960
0.1,0.8472,0.8810,0.7832
0.2,0.8944,0.8283,0.8529
0.3,0.9110,0.8042,0.8792
0.4,0.9285,0.7750,0.9128
0.5,0.9271,0.7714,0.9125
0.6,0.9325,0.7706,0.9188
0.8,0.9345,0.7610,0.9229
1.0,0.9297,0.7476,0.9233
