video,method,content_fidelity,same_scene,near_duplicate,n_shots,n_pairs
BlackHole,DACA,0.5,0.9333333333333333,0.125,16,15
BlackHole,Fixed w=1.0,0.5,1.0,0.0625,16,15
Neuron,DACA,0.875,0.7333333333333333,0.1875,16,15
Neuron,Fixed w=1.0,0.125,1.0,0.0,16,15
Volcano,DACA,0.5,0.4666666666666667,0.25,16,15
Volcano,Fixed w=1.0,0.5,1.0,0.0625,16,15
Geology,DACA,1.0,0.5,0.3333333333333333,3,2
Geology,Fixed w=1.0,0.0,1.0,0.0,3,2
Ecology,DACA,1.0,1.0,0.0,3,2
Ecology,Fixed w=1.0,0.0,1.0,0.0,3,2
Eye,DACA,0.625,1.0,0.25,16,15
Eye,Fixed w=1.0,0.375,1.0,0.3125,16,15
Hurricane,DACA,0.5625,0.9333333333333333,0.625,16,15
Hurricane,Fixed w=1.0,0.4375,1.0,0.75,16,15
River,DACA,1.0,0.13333333333333333,0.0,16,15
River,Fixed w=1.0,0.0,1.0,0.0,16,15
