shot,weight,sim_to_reference,sim_to_own_w0
"shot_001",0.2,0.2915,1.0000
"shot_001",0.3,0.5990,0.7860
"shot_001",0.4,0.6569,0.7382
"shot_001",0.5,0.8619,0.4141
"shot_001",0.6,0.8843,0.3439
"shot_001",0.8,0.8720,0.2702
"shot_002",0.2,0.2127,1.0000
"shot_002",0.3,0.3054,0.8732
"shot_002",0.4,0.6662,0.4398
"shot_002",0.5,0.8809,0.2677
"shot_002",0.6,0.8338,0.2214
"shot_002",0.8,0.8400,0.2134
"shot_003",0.2,0.3075,1.0000
"shot_003",0.3,0.6211,0.5843
"shot_003",0.4,0.3323,0.9687
"shot_003",0.5,0.8521,0.4082
"shot_003",0.6,0.3587,0.9180
"shot_003",0.8,0.3188,0.9000
"shot_004",0.2,0.5006,1.0000
"shot_004",0.3,0.6742,0.7855
"shot_004",0.4,0.7589,0.7233
"shot_004",0.5,0.8485,0.5640
"shot_004",0.6,0.8616,0.5754
"shot_004",0.8,0.8345,0.5334
"shot_005",0.2,0.6539,1.0000
"shot_005",0.3,0.7065,0.8618
"shot_005",0.4,0.8555,0.7885
"shot_005",0.5,0.8258,0.6803
"shot_005",0.6,0.8076,0.6547
"shot_005",0.8,0.8528,0.6907
"shot_006",0.2,0.5587,1.0000
"shot_006",0.3,0.7106,0.8121
"shot_006",0.4,0.8388,0.7674
"shot_006",0.5,0.8932,0.7314
"shot_006",0.6,0.8665,0.6370
"shot_006",0.8,0.8471,0.5945
"shot_007",0.2,0.4415,1.0000
"shot_007",0.3,0.8392,0.6050
"shot_007",0.4,0.3943,0.8274
"shot_007",0.5,0.8523,0.4353
"shot_007",0.6,0.3558,0.6925
"shot_007",0.8,0.3521,0.7079
"shot_008",0.2,0.4289,1.0000
"shot_008",0.3,0.5568,0.6696
"shot_008",0.4,0.7039,0.6463
"shot_008",0.5,0.7879,0.4756
"shot_008",0.6,0.8617,0.4449
"shot_008",0.8,0.8717,0.4140
"shot_009",0.2,0.2317,1.0000
"shot_009",0.3,0.2942,0.8544
"shot_009",0.4,0.2154,0.6582
"shot_009",0.5,0.8365,0.4080
"shot_009",0.6,0.2560,0.4306
"shot_009",0.8,0.2357,0.3917
"shot_010",0.2,0.5513,1.0000
"shot_010",0.3,0.7033,0.7834
"shot_010",0.4,0.8490,0.6681
"shot_010",0.5,0.8100,0.5403
"shot_010",0.6,0.8470,0.6218
"shot_010",0.8,0.8619,0.6366
"shot_011",0.2,0.7820,1.0000
"shot_011",0.3,0.8225,0.9143
"shot_011",0.4,0.8980,0.8339
"shot_011",0.5,0.8700,0.8105
"shot_011",0.6,0.8396,0.7803
"shot_011",0.8,0.8604,0.7768
"shot_012",0.2,0.9520,1.0000
"shot_012",0.3,0.8649,0.9223
"shot_012",0.4,0.7688,0.8402
"shot_012",0.5,0.7944,0.8594
"shot_012",0.6,0.8316,0.8866
"shot_012",0.8,0.8523,0.9012
"shot_013",0.2,0.1633,1.0000
"shot_013",0.3,0.3170,0.8525
"shot_013",0.4,0.4679,0.6756
"shot_013",0.5,0.8558,0.2966
"shot_013",0.6,0.8550,0.2684
"shot_013",0.8,0.8650,0.1836
"shot_014",0.2,0.3325,1.0000
"shot_014",0.3,0.3939,0.9110
"shot_014",0.4,0.6601,0.6641
"shot_014",0.5,0.7954,0.3846
"shot_014",0.6,0.8510,0.3668
"shot_014",0.8,0.8217,0.3667
"shot_015",0.2,0.7499,1.0000
"shot_015",0.3,0.8221,0.9253
"shot_015",0.4,0.8819,0.8672
"shot_015",0.5,0.9195,0.7888
"shot_015",0.6,0.8484,0.8068
"shot_015",0.8,0.8593,0.8047
"shot_016",0.2,0.8767,1.0000
"shot_016",0.3,0.8166,0.8343
"shot_016",0.4,0.9134,0.8911
"shot_016",0.5,0.8868,0.8559
"shot_016",0.6,0.8703,0.8472
"shot_016",0.8,0.8395,0.8343

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.2,0.5022,1.0000,0.3792
0.3,0.6280,0.8109,0.5086
0.4,0.6788,0.7499,0.5807
0.5,0.8482,0.5575,0.8412
0.6,0.7518,0.5935,0.7164
0.8,0.7490,0.5762,0.7448
