shot,weight,sim_to_reference,sim_to_own_w0
"shot_003",0,1.0000,1.0000
"shot_003",0.2,0.9637,0.9637
"shot_003",0.4,0.9430,0.9430
"shot_003",0.6,0.9129,0.9129
"shot_003",0.8,0.8848,0.8848
"shot_003",1,0.8851,0.8851
"shot_007",0,0.5519,1.0000
"shot_007",0.2,0.6325,0.7834
"shot_007",0.4,0.7291,0.6889
"shot_007",0.6,0.7682,0.6290
"shot_007",0.8,0.8608,0.6456
"shot_007",1,0.9228,0.5624
"shot_009",0,0.2937,1.0000
"shot_009",0.2,0.3610,0.8168
"shot_009",0.4,0.7379,0.5797
"shot_009",0.6,0.8690,0.3101
"shot_009",0.8,0.9085,0.2965
"shot_009",1,0.8942,0.2978

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0,0.6152,1.0000,0.4179
0.2,0.6524,0.8546,0.4904
0.4,0.8033,0.7372,0.6938
0.6,0.8500,0.6173,0.8301
0.8,0.8847,0.6089,0.8603
1,0.9007,0.5817,0.8756
