shot,weight,sim_to_reference,sim_to_own_w0
"shot_005",0,0.4801,1.0000
"shot_005",0.2,0.6295,0.8772
"shot_005",0.4,0.7928,0.6596
"shot_005",0.6,0.8240,0.5977
"shot_005",0.8,0.8359,0.5754
"shot_005",1,0.8593,0.5025
"shot_011",0,0.5442,1.0000
"shot_011",0.2,0.7112,0.7663
"shot_011",0.4,0.7747,0.7410
"shot_011",0.6,0.8168,0.5170
"shot_011",0.8,0.8268,0.4968
"shot_011",1,0.8835,0.5214
"shot_013",0,0.7446,1.0000
"shot_013",0.2,0.8258,0.9146
"shot_013",0.4,0.8544,0.7964
"shot_013",0.6,0.8907,0.7016
"shot_013",0.8,0.8587,0.6465
"shot_013",1,0.9018,0.6682

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0,0.5896,1.0000,0.6088
0.2,0.7222,0.8527,0.7585
0.4,0.8073,0.7323,0.8038
0.6,0.8438,0.6054,0.8280
0.8,0.8405,0.5729,0.8927
1,0.8815,0.5640,0.9143
