shot,weight,sim_to_reference,sim_to_own_w0
"shot_001",0,1.0000,1.0000
"shot_001",0.1,0.9337,0.9337
"shot_001",0.2,0.9219,0.9219
"shot_001",0.3,0.9419,0.9419
"shot_001",0.4,0.9259,0.9259
"shot_001",0.5,0.9152,0.9152
"shot_001",0.6,0.9173,0.9173
"shot_001",0.8,0.8951,0.8951
"shot_001",1,0.8979,0.8979
"shot_002",0,0.2292,1.0000
"shot_002",0.1,0.3405,0.6395
"shot_002",0.2,0.5070,0.4388
"shot_002",0.3,0.6768,0.2869
"shot_002",0.4,0.7759,0.3110
"shot_002",0.5,0.8392,0.2529
"shot_002",0.6,0.8752,0.2821
"shot_002",0.8,0.8458,0.2711
"shot_002",1,0.8472,0.2655
"shot_003",0,0.3043,1.0000
"shot_003",0.1,0.5290,0.4628
"shot_003",0.2,0.7405,0.3555
"shot_003",0.3,0.8532,0.3539
"shot_003",0.4,0.8478,0.3888
"shot_003",0.5,0.8869,0.3162
"shot_003",0.6,0.8748,0.3343
"shot_003",0.8,0.9117,0.3460
"shot_003",1,0.8866,0.3406
"shot_004",0,0.1872,1.0000
"shot_004",0.1,0.1965,0.8083
"shot_004",0.2,0.2926,0.5235
"shot_004",0.3,0.2867,0.4987
"shot_004",0.4,0.4707,0.4156
"shot_004",0.5,0.4665,0.2939
"shot_004",0.6,0.8223,0.2274
"shot_004",0.8,0.8434,0.2012
"shot_004",1,0.8776,0.1798
"shot_005",0,0.2577,1.0000
"shot_005",0.1,0.2136,0.7832
"shot_005",0.2,0.2847,0.5961
"shot_005",0.3,0.5494,0.5028
"shot_005",0.4,0.6714,0.3628
"shot_005",0.5,0.7599,0.3031
"shot_005",0.6,0.8479,0.2847
"shot_005",0.8,0.8900,0.2904
"shot_005",1,0.9132,0.2888
"shot_006",0,0.3139,1.0000
"shot_006",0.1,0.2977,0.8052
"shot_006",0.2,0.3022,0.7773
"shot_006",0.3,0.3738,0.6754
"shot_006",0.4,0.5943,0.4472
"shot_006",0.5,0.8742,0.3853
"shot_006",0.6,0.8865,0.3322
"shot_006",0.8,0.8514,0.3573
"shot_006",1,0.9076,0.3353
"shot_007",0,0.2291,1.0000
"shot_007",0.1,0.2631,0.8442
"shot_007",0.2,0.2801,0.8501
"shot_007",0.3,0.3370,0.7238
"shot_007",0.4,0.4568,0.6179
"shot_007",0.5,0.7888,0.3335
"shot_007",0.6,0.8549,0.2792
"shot_007",0.8,0.9021,0.2463
"shot_007",1,0.8702,0.2172
"shot_008",0,0.1485,1.0000
"shot_008",0.1,0.1704,0.8897
"shot_008",0.2,0.3987,0.5194
"shot_008",0.3,0.5727,0.2962
"shot_008",0.4,0.6748,0.1884
"shot_008",0.5,0.8604,0.1594
"shot_008",0.6,0.8773,0.1396
"shot_008",0.8,0.8906,0.1686
"shot_008",1,0.8734,0.1725
"shot_009",0,0.2055,1.0000
"shot_009",0.1,0.2296,0.7416
"shot_009",0.2,0.3684,0.5261
"shot_009",0.3,0.4947,0.5036
"shot_009",0.4,0.8631,0.2291
"shot_009",0.5,0.8546,0.2754
"shot_009",0.6,0.8389,0.2577
"shot_009",0.8,0.8559,0.2684
"shot_009",1,0.8277,0.2646
"shot_010",0,0.1190,1.0000
"shot_010",0.1,0.1174,0.3373
"shot_010",0.2,0.2796,0.2586
"shot_010",0.3,0.5216,0.3197
"shot_010",0.4,0.4370,0.2544
"shot_010",0.5,0.7916,0.2010
"shot_010",0.6,0.7967,0.1876
"shot_010",0.8,0.8451,0.1502
"shot_010",1,0.8700,0.1528
"shot_011",0,0.0829,1.0000
"shot_011",0.1,0.0703,0.9041
"shot_011",0.2,0.1193,0.8319
"shot_011",0.3,0.1176,0.4342
"shot_011",0.4,0.4241,0.2655
"shot_011",0.5,0.5654,0.2083
"shot_011",0.6,0.8197,0.1157
"shot_011",0.8,0.8567,0.0746
"shot_011",1,0.8545,0.0967
"shot_012",0,-0.0335,1.0000
"shot_012",0.1,-0.0170,0.9471
"shot_012",0.2,0.0206,0.9002
"shot_012",0.3,0.0954,0.6938
"shot_012",0.4,0.2898,0.6197
"shot_012",0.5,0.6263,0.1436
"shot_012",0.6,0.8762,-0.0069
"shot_012",0.8,0.8844,-0.0290
"shot_012",1,0.8660,-0.0056
"shot_013",0,0.0124,1.0000
"shot_013",0.1,0.0433,0.9272
"shot_013",0.2,0.1083,0.7757
"shot_013",0.3,0.1397,0.8475
"shot_013",0.4,0.2110,0.7793
"shot_013",0.5,0.5393,0.2089
"shot_013",0.6,0.7918,0.0744
"shot_013",0.8,0.8512,0.0378
"shot_013",1,0.8418,0.0372

weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0,0.2351,1.0000,0.3206
0.1,0.2606,0.7711,0.2860
0.2,0.3557,0.6365,0.3026
0.3,0.4585,0.5445,0.3720
0.4,0.5879,0.4466,0.4754
0.5,0.7514,0.3074,0.6685
0.6,0.8523,0.2635,0.8473
0.8,0.8710,0.2522,0.8938
1,0.8718,0.2495,0.8942
