shot,weight,sim_to_reference,sim_to_own_w0
"shot_001",0,1.0000,1.0000
"shot_001",0.1,0.8721,0.8721
"shot_001",0.2,0.8760,0.8760
"shot_001",0.3,0.8469,0.8469
"shot_001",0.4,0.8197,0.8197
"shot_001",0.5,0.8478,0.8478
"shot_001",0.6,0.9057,0.9057
"shot_001",0.8,0.9012,0.9012
"shot_001",1,0.9132,0.9132
"shot_002",0,0.4612,1.0000
"shot_002",0.1,0.5638,0.7890
"shot_002",0.2,0.5866,0.6725
"shot_002",0.3,0.7794,0.4576
"shot_002",0.4,0.6138,0.4815
"shot_002",0.5,0.8246,0.4323
"shot_002",0.6,0.8287,0.3660
"shot_002",0.8,0.8640,0.3948
"shot_002",1,0.8400,0.4410
"shot_003",0,0.2556,1.0000
"shot_003",0.1,0.2911,0.8592
"shot_003",0.2,0.3060,0.7418
"shot_003",0.3,0.7801,0.2193
"shot_003",0.4,0.8229,0.2226
"shot_003",0.5,0.8033,0.2430
"shot_003",0.6,0.7965,0.2194
"shot_003",0.8,0.8022,0.3459
"shot_003",1,0.7222,0.2833
"shot_004",0,0.5662,1.0000
"shot_004",0.1,0.5008,0.8069
"shot_004",0.2,0.7544,0.4984
"shot_004",0.3,0.7228,0.4381
"shot_004",0.4,0.6195,0.3751
"shot_004",0.5,0.6250,0.3681
"shot_004",0.6,0.8556,0.4880
"shot_004",0.8,0.9061,0.5241
"shot_004",1,0.8881,0.5628
"shot_005",0,0.5644,1.0000
"shot_005",0.1,0.6030,0.8619
"shot_005",0.2,0.6681,0.7501
"shot_005",0.3,0.6706,0.7560
"shot_005",0.4,0.6966,0.6169
"shot_005",0.5,0.7580,0.6275
"shot_005",0.6,0.8466,0.5913
"shot_005",0.8,0.8783,0.5583
"shot_005",1,0.8653,0.5527
"shot_006",0,0.2826,1.0000
"shot_006",0.1,0.2703,0.8431
"shot_006",0.2,0.3792,0.6173
"shot_006",0.3,0.7491,0.2799
"shot_006",0.4,0.8093,0.2518
"shot_006",0.5,0.8346,0.2040
"shot_006",0.6,0.8268,0.2559
"shot_006",0.8,0.7198,0.2625
"shot_006",1,0.8438,0.2864
"shot_007",0,0.2225,1.0000
"shot_007",0.1,0.2973,0.6849
"shot_007",0.2,0.4992,0.3028
"shot_007",0.3,0.8138,0.2299
"shot_007",0.4,0.8120,0.1928
"shot_007",0.5,0.8296,0.2364
"shot_007",0.6,0.8459,0.2121
"shot_007",0.8,0.8734,0.2190
"shot_007",1,0.8587,0.1794
"shot_008",0,0.4798,1.0000
"shot_008",0.1,0.5533,0.8375
"shot_008",0.2,0.7738,0.5381
"shot_008",0.3,0.8317,0.4987
"shot_008",0.4,0.8530,0.4624
"shot_008",0.5,0.8550,0.4161
"shot_008",0.6,0.7798,0.4326
"shot_008",0.8,0.8551,0.4584
"shot_008",1,0.8159,0.3889
"shot_009",0,0.1983,1.0000
"shot_009",0.1,0.2946,0.7298
"shot_009",0.2,0.3544,0.6723
"shot_009",0.3,0.6532,0.2476
"shot_009",0.4,0.7644,0.1376
"shot_009",0.5,0.7980,0.1920
"shot_009",0.6,0.7891,0.1735
"shot_009",0.8,0.8710,0.1804
"shot_009",1,0.8612,0.1946
"shot_010",0,0.4511,1.0000
"shot_010",0.1,0.5748,0.8652
"shot_010",0.2,0.7486,0.4226
"shot_010",0.3,0.7539,0.4357
"shot_010",0.4,0.7826,0.4101
"shot_010",0.5,0.7699,0.3837
"shot_010",0.6,0.8022,0.4151
"shot_010",0.8,0.8055,0.3685
"shot_010",1,0.6946,0.4017
"shot_011",0,0.4269,1.0000
"shot_011",0.1,0.4467,0.7386
"shot_011",0.2,0.5983,0.6428
"shot_011",0.3,0.5190,0.4547
"shot_011",0.4,0.7874,0.4652
"shot_011",0.5,0.7707,0.5041
"shot_011",0.6,0.8254,0.4357
"shot_011",0.8,0.8378,0.3988
"shot_011",1,0.8682,0.4978
"shot_012",0,0.2182,1.0000
