shot,weight,sim_to_reference,sim_to_own_w0
"shot_001",0,1.0000,1.0000
"shot_001",0.1,0.9506,0.9506
"shot_001",0.2,0.9330,0.9330
"shot_001",0.3,0.8825,0.8825
"shot_001",0.4,0.8860,0.8860
"shot_001",0.5,0.8939,0.8939
"shot_001",0.6,0.9075,0.9075
"shot_001",0.8,0.8936,0.8936
"shot_001",1,0.8461,0.8461
"shot_002",0,0.6807,1.0000
"shot_002",0.1,0.8588,0.7197
"shot_002",0.2,0.8981,0.6785
"shot_002",0.3,0.8836,0.6901
"shot_002",0.4,0.9020,0.6962
"shot_002",0.5,0.8786,0.6789
"shot_002",0.6,0.8836,0.6299
"shot_002",0.8,0.8476,0.7228
"shot_002",1,0.8416,0.6489
"shot_003",0,0.6461,1.0000
"shot_003",0.1,0.7211,0.9328
"shot_003",0.2,0.7679,0.8834
"shot_003",0.3,0.8232,0.7801
"shot_003",0.4,0.8844,0.6894
"shot_003",0.5,0.8544,0.6980
"shot_003",0.6,0.8690,0.6567
"shot_003",0.8,0.8690,0.6782
"shot_003",1,0.9049,0.6786
"shot_004",0,0.5948,1.0000
"shot_004",0.1,0.5848,0.8093
"shot_004",0.2,0.8313,0.6371
"shot_004",0.3,0.8293,0.7064
"shot_004",0.4,0.7843,0.7302
"shot_004",0.5,0.8620,0.6969
"shot_004",0.6,0.8614,0.6541
"shot_004",0.8,0.8708,0.7009
"shot_004",1,0.8897,0.6331
"shot_005",0,0.6213,1.0000
"shot_005",0.1,0.7664,0.7369
"shot_005",0.2,0.8731,0.5146
"shot_005",0.3,0.8929,0.6238
"shot_005",0.4,0.8971,0.5799
"shot_005",0.5,0.8521,0.5479
"shot_005",0.6,0.8395,0.5150
"shot_005",0.8,0.8556,0.5252
"shot_005",1,0.8821,0.5879
"shot_006",0,0.5579,1.0000
"shot_006",0.1,0.7091,0.7356
"shot_006",0.2,0.8563,0.6339
"shot_006",0.3,0.8954,0.5581
"shot_006",0.4,0.9042,0.5288
"shot_006",0.5,0.8965,0.5987
"shot_006",0.6,0.8897,0.5202
"shot_006",0.8,0.9047,0.5462
"shot_006",1,0.8702,0.5808
"shot_007",0,0.5354,1.0000
"shot_007",0.1,0.5599,0.9425
"shot_007",0.2,0.6206,0.9325
"shot_007",0.3,0.7903,0.7854
