concept_text,"a colorful cartoon illustration of the Sun, a bright glowing star in space"
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"shot_001",1,0.8461,0.2655
"shot_002",0.8,0.7228,0.2495
"shot_003",0.3,0.7801,0.2317
"shot_004",0.8,0.7009,0.2669
"shot_005",0.1,0.7369,0.2497
"shot_006",0.1,0.7356,0.2647
"shot_007",0.3,0.7854,0.2605
"shot_008",0.2,0.8499,0.2661
"shot_009",0,1.0000,0.2055
"shot_010",0.1,0.8409,0.2042
"shot_011",0.3,0.7029,0.2819
"shot_012",0.1,0.7296,0.2244
"shot_013",1,0.7337,0.2551
"shot_014",0.1,0.8614,0.2655
"shot_015",1,0.7542,0.2513
"shot_016",0,1.0000,0.2729

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"adaptive",0.2510,0.7988
"fixed_w0.2",0.2608,0.7164
"fixed_w0.4",0.2639,0.5913
"fixed_w0.6",0.2660,0.5520
